,Name,Num_Trips_per_Tour,Prob,Cum_Prob
0,bulk,3,0.308,0.308
1,bulk,4,0.385,0.6930000000000001
2,bulk,5,0.026,0.7190000000000001
3,bulk,6,0.077,0.796
4,bulk,7,0.026,0.8220000000000001
5,bulk,8,0.043,0.8650000000000001
6,bulk,10,0.034,0.8990000000000001
7,bulk,11,0.017,0.9160000000000001
8,bulk,12,0.026,0.9420000000000002
9,bulk,14,0.009,0.9510000000000002
10,bulk,15,0.017,0.9680000000000002
11,bulk,16,0.017,0.9850000000000002
12,bulk,17,0.009,0.9940000000000002
13,bulk,20,0.009,1.0030000000000001
