carrierId,tourId,vehicleId,vehicleTypeId,depot_zone,MESOZONE,BoundaryZONE,depot_zone_x,depot_zone_y
685623.0,0.0,11.0,2.0,909.0,,no,-121.92445477319949,37.485920789949496
685624.0,1.0,32.0,2.0,564.0,,no,-122.16846118675352,37.73057700659482
686779.0,2.0,38.0,2.0,396.0,,no,-122.25352053946563,37.86654625945098
688995.0,3.0,52.0,2.0,283.0,,no,-122.18183649252694,37.75411342214013
691608.0,4.0,63.0,2.0,381.0,,no,-122.28980895702212,37.874613629738064
692707.0,5.0,76.0,2.0,348.0,,no,-122.29272061121523,37.88939108005658
697596.0,6.0,89.0,2.0,611.0,,no,-122.16053699182447,37.69057058245311
700400.0,7.0,95.0,2.0,190.0,,no,-122.21913197627023,37.78951324050151
700913.0,8.0,104.0,2.0,155.0,,no,-122.23298098843445,37.800713405365265
701322.0,9.0,114.0,2.0,705.0,,no,-122.10012951859036,37.64325316494772
702993.0,10.0,125.0,2.0,79.0,,no,-122.25758079579956,37.81584881789923
703000.0,11.0,139.0,2.0,820.0,,no,-122.06044467228399,37.58886855908496
703003.0,12.0,147.0,2.0,367.0,,no,-122.2598528305317,37.87975396954138
703004.0,13.0,152.0,2.0,473.0,,no,-122.27562508763867,37.77817908496888
705033.0,14.0,164.0,2.0,531.0,,no,-122.09277111499232,37.71414359644507
707089.0,15.0,174.0,2.0,75.0,,no,-122.26331759340235,37.802985678666175
708788.0,16.0,189.0,2.0,658.0,,no,-122.11765920024588,37.685855117054174
710272.0,17.0,204.0,2.0,245.0,,no,-122.18395540534583,37.789400657570596
710275.0,18.0,222.0,2.0,144.0,,no,-122.24946321316952,37.7967824826341
714655.0,19.0,234.0,2.0,475.0,,no,-122.28239020318902,37.77649915620932
722617.0,20.0,252.0,2.0,318.0,,no,-122.120249946572,37.7478021198704
722620.0,21.0,268.0,2.0,758.0,,no,-122.02657576259253,37.596491973455976
722621.0,22.0,276.0,2.0,641.0,,no,-122.05094078038091,37.688140969109085
722626.0,23.0,284.0,2.0,458.0,,no,-122.24087955240688,37.82879670211402
725620.0,24.0,294.0,2.0,982.0,,no,-121.84864226890993,37.664335166320036
727548.0,25.0,309.0,2.0,519.0,,no,-122.04429761510946,37.698794586735495
729886.0,26.0,328.0,2.0,1033.0,,no,-121.7755060332531,37.67606633984565
730012.0,27.0,340.0,2.0,486.0,,no,-122.25275505651938,37.769800149854476
732004.0,28.0,349.0,2.0,55.0,,no,-122.29242304681534,37.808898194906384
732005.0,29.0,364.0,2.0,672.0,,no,-122.13732458893496,37.66477503128026
732011.0,30.0,375.0,2.0,939.0,,no,-121.92416584920616,37.727183602453735
732012.0,31.0,381.0,2.0,235.0,,no,-122.20647540547253,37.773881307921194
732013.0,32.0,394.0,2.0,85.0,,no,-122.25932301610496,37.810936569505984
732014.0,33.0,404.0,2.0,901.0,,no,-121.92520395872926,37.53158734520035
732015.0,34.0,421.0,2.0,140.0,,no,-122.25245819234266,37.800539091107304
732018.0,35.0,434.0,2.0,528.0,,no,-122.079332906596,37.721067268138945
732019.0,36.0,443.0,2.0,242.0,,no,-122.18999621187632,37.78099514256731
732020.0,37.0,452.0,2.0,943.0,,no,-121.92179299196927,37.70751997920433
732021.0,38.0,464.0,2.0,781.0,,no,-122.07317757360565,37.59331979312279
732023.0,39.0,478.0,2.0,615.0,,no,-122.14803502147087,37.69126605180573
732025.0,40.0,493.0,2.0,404.0,,no,-122.27902754390959,37.867761791296
732028.0,41.0,506.0,2.0,894.0,,no,-121.92649381616332,37.51192664877847
732029.0,42.0,513.0,2.0,654.0,,no,-122.10376908872766,37.68324760840648
732031.0,43.0,530.0,2.0,624.0,,no,-122.12250719213641,37.699154158098686
732036.0,44.0,542.0,2.0,370.0,,no,-122.2706852894289,37.87968759547609
732040.0,45.0,559.0,2.0,179.0,,no,-122.22592236498905,37.77955591868435
732041.0,46.0,572.0,2.0,732.0,,no,-122.06723654114994,37.646470633018644
732043.0,47.0,582.0,2.0,827.0,,no,-122.02691767572496,37.5619592280192
732046.0,48.0,594.0,2.0,433.0,,no,-122.26776359719459,37.85283922281674
739355.0,49.0,603.0,2.0,470.0,,no,-122.26517990216023,37.78013321133071
739590.0,50.0,615.0,2.0,793.0,,no,-121.98348491875514,37.60300273459613
739591.0,51.0,630.0,2.0,155.0,,no,-122.22622240243741,37.799119649856316
739594.0,52.0,639.0,2.0,60.0,,no,-122.28556470875239,37.80298518067716
739595.0,53.0,659.0,2.0,949.0,,no,-121.944396243404,37.719188812782356
740579.0,54.0,666.0,2.0,980.0,,no,-121.86886621613954,37.6536247359211
740581.0,55.0,682.0,2.0,154.0,,no,-122.24078351581407,37.79962221603352
740582.0,56.0,691.0,2.0,200.0,,no,-122.20220899784921,37.803837483360276
740584.0,57.0,708.0,2.0,43.0,,no,-122.27287036641907,37.814048604920075
740587.0,58.0,714.0,2.0,984.0,,no,-121.90317157375449,37.698338718721125
740590.0,59.0,726.0,2.0,634.0,,no,-122.04978222986921,37.64834683856791
740591.0,60.0,737.0,2.0,939.0,,no,-121.92179548090631,37.72761966753912
740592.0,61.0,747.0,2.0,349.0,,no,-122.2634600700527,37.89719727594741
740593.0,62.0,765.0,2.0,843.0,,no,-121.98632872970028,37.55636917672836
740594.0,63.0,777.0,2.0,394.0,,no,-122.24632327351762,37.866253358967306
740595.0,64.0,781.0,2.0,513.0,,no,-122.25913164497096,37.76249724254421
740596.0,65.0,792.0,2.0,4.0,,no,-122.2491825544504,37.84432593115544
740598.0,66.0,804.0,2.0,589.0,,no,-122.13617045003389,37.70607695237033
740599.0,67.0,812.0,2.0,579.0,,no,-122.1473302118968,37.73081910883015
744590.0,68.0,825.0,2.0,363.0,,no,-122.26279698238378,37.88986992395903
744592.0,69.0,837.0,2.0,255.0,,no,-122.18340038267787,37.77686619299994
