tour_id,departureTimeInSec,departureLocation_zone,maxTourDurationInSec,departureLocation_x,departureLocation_y
0.0,174780.0,8661.0,3600.0,-121.35254685214781,37.02531814963523
1.0,30600.0,564.0,3600.0,-122.16889293424848,37.730279166351536
2.0,52200.0,396.0,3600.0,-122.25225403437321,37.86951489876639
3.0,36000.0,283.0,3600.0,-122.19597419109552,37.75079125722409
4.0,52800.0,381.0,3600.0,-122.28647421953609,37.876138006411914
5.0,37200.0,348.0,3600.0,-122.28957820532439,37.88731628447594
6.0,51000.0,611.0,3600.0,-122.15892643164644,37.68639318084224
7.0,57600.0,190.0,3600.0,-122.21916859174551,37.78957644582127
8.0,36600.0,155.0,3600.0,-122.22692296163044,37.79922503414311
9.0,57000.0,705.0,3600.0,-122.09923498370209,37.638148769831254
10.0,36600.0,79.0,3600.0,-122.2595474562012,37.81342971224918
11.0,41400.0,820.0,3600.0,-122.06133362343066,37.58967048978203
12.0,52200.0,367.0,3600.0,-122.25990578670498,37.8811319506472
13.0,34200.0,473.0,3600.0,-122.27574137306911,37.78662246589805
14.0,31800.0,531.0,3600.0,-122.0933421076183,37.71300616195738
15.0,40800.0,75.0,3600.0,-122.26338054869315,37.804359313347085
16.0,42000.0,658.0,3600.0,-122.11414449834753,37.6793540110067
17.0,51600.0,245.0,3600.0,-122.18395591621926,37.784447044614865
18.0,49200.0,144.0,3600.0,-122.24995739946837,37.795706462576646
19.0,49200.0,475.0,3600.0,-122.28787898381967,37.77754623956264
20.0,51000.0,318.0,3600.0,-122.12170901473856,37.75159540944518
21.0,28800.0,758.0,3600.0,-122.02130671688832,37.59536268869526
22.0,60000.0,641.0,3600.0,-122.04757031071775,37.69287049720731
23.0,41400.0,458.0,3600.0,-122.24017037507724,37.82955592906296
24.0,56400.0,982.0,3600.0,-121.84623236178905,37.6587471876552
25.0,56400.0,519.0,3600.0,-122.04526258886247,37.70217213272716
26.0,67800.0,1033.0,3600.0,-121.77539428378348,37.675950071082994
27.0,47400.0,486.0,3600.0,-122.25163821846989,37.7710016520707
28.0,25800.0,55.0,3600.0,-122.29566853329764,37.80687114057087
29.0,37200.0,672.0,3600.0,-122.13848509086021,37.66350337484879
30.0,25200.0,939.0,3600.0,-121.91749690271236,37.71933097853379
31.0,47400.0,235.0,3600.0,-122.20567769292983,37.77422427577404
32.0,51000.0,85.0,3600.0,-122.25812089943899,37.80948713415355
33.0,55200.0,901.0,3600.0,-121.92391359993553,37.53003055887829
34.0,22800.0,140.0,3600.0,-122.25277556626197,37.80197819525773
35.0,66000.0,528.0,3600.0,-122.08327157988157,37.71476880146971
36.0,67200.0,242.0,3600.0,-122.19281861741314,37.78353023579899
37.0,27000.0,943.0,3600.0,-121.91733908543722,37.71435454476325
38.0,35400.0,781.0,3600.0,-122.07327151852814,37.59563099208764
39.0,40200.0,615.0,3600.0,-122.14761189598809,37.68631820587586
40.0,43800.0,404.0,3600.0,-122.27725792053214,37.86474814515463
41.0,40800.0,894.0,3600.0,-121.92716660665344,37.51415885178293
42.0,41400.0,654.0,3600.0,-122.10478626159973,37.682643182174886
43.0,73200.0,624.0,3600.0,-122.12126102001756,37.69587675925429
44.0,47400.0,370.0,3600.0,-122.26609599730484,37.88045769199878
45.0,36600.0,179.0,3600.0,-122.22884923342369,37.780065065642404
46.0,35400.0,732.0,3600.0,-122.06370926103047,37.641216998774524
47.0,48000.0,827.0,3600.0,-122.03070016438382,37.56227988104093
48.0,33000.0,433.0,3600.0,-122.27055509941849,37.851818726793645
49.0,29400.0,470.0,3600.0,-122.27040124974536,37.78582740265124
50.0,45000.0,793.0,3600.0,-121.98061878292809,37.583132158768386
51.0,55200.0,155.0,3600.0,-122.22692296163044,37.79922503414311
52.0,56400.0,60.0,3600.0,-122.2849268196775,37.80243943902588
53.0,38400.0,949.0,3600.0,-121.9484307007016,37.71295024994511
54.0,41400.0,980.0,3600.0,-121.86250070224808,37.658226162017954
