payloadId,sequenceRank,tourId,payloadType,weightInlb,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSec_lower,arrivalTimeWindowInSec_upper,operationDurationInSec,locationZone_x,locationZone_y
-1,1,0,1,1409.0,1,478,31500,0,0,0,-122.28267085360646,37.772784782802965
622,2,0,1,-273,1,6121,33780,18000,79200,300,-122.48581600370187,37.75287365426868
624,3,0,1,-1136,1,4402.0,39402.89999999999,18000,5184000,160337.1,-122.26879414100735,38.53755960571487
-1,4,0,1,0,1,478,210540,0,0,0,-122.28588160797305,37.77305133174604
