tour_id,departureTimeInSec,departureLocation_zone,maxTourDurationInSec
0.0,32400.0,909.0,3600.0
1.0,48000.0,564.0,3600.0
2.0,48000.0,396.0,3600.0
3.0,43800.0,283.0,3600.0
4.0,46800.0,381.0,3600.0
5.0,37200.0,348.0,3600.0
6.0,31200.0,611.0,3600.0
7.0,49200.0,190.0,3600.0
8.0,36600.0,155.0,3600.0
9.0,42000.0,705.0,3600.0
10.0,37200.0,79.0,3600.0
11.0,29400.0,820.0,3600.0
12.0,50400.0,367.0,3600.0
13.0,40800.0,473.0,3600.0
14.0,31200.0,531.0,3600.0
15.0,42000.0,75.0,3600.0
16.0,40200.0,658.0,3600.0
17.0,52200.0,245.0,3600.0
18.0,49200.0,144.0,3600.0
19.0,25800.0,475.0,3600.0
20.0,36600.0,318.0,3600.0
21.0,40200.0,758.0,3600.0
22.0,26400.0,641.0,3600.0
23.0,48000.0,458.0,3600.0
24.0,56400.0,982.0,3600.0
25.0,32400.0,519.0,3600.0
26.0,28200.0,1033.0,3600.0
27.0,47400.0,486.0,3600.0
28.0,27600.0,55.0,3600.0
29.0,37200.0,672.0,3600.0
30.0,38400.0,939.0,3600.0
31.0,48000.0,235.0,3600.0
32.0,41400.0,85.0,3600.0
33.0,46800.0,901.0,3600.0
34.0,36600.0,140.0,3600.0
35.0,41400.0,528.0,3600.0
36.0,27000.0,242.0,3600.0
37.0,18000.0,943.0,3600.0
38.0,26400.0,781.0,3600.0
39.0,40800.0,615.0,3600.0
40.0,44400.0,404.0,3600.0
41.0,41400.0,894.0,3600.0
42.0,44400.0,654.0,3600.0
43.0,46200.0,624.0,3600.0
44.0,56400.0,370.0,3600.0
45.0,52200.0,179.0,3600.0
46.0,35400.0,732.0,3600.0
47.0,37200.0,827.0,3600.0
48.0,27000.0,433.0,3600.0
49.0,49200.0,470.0,3600.0
50.0,43800.0,793.0,3600.0
51.0,54000.0,155.0,3600.0
52.0,55800.0,60.0,3600.0
53.0,36000.0,949.0,3600.0
54.0,45000.0,980.0,3600.0
55.0,34200.0,154.0,3600.0
56.0,25200.0,200.0,3600.0
57.0,41400.0,43.0,3600.0
58.0,49200.0,984.0,3600.0
59.0,30000.0,634.0,3600.0
60.0,25800.0,939.0,3600.0
61.0,46800.0,349.0,3600.0
62.0,45000.0,843.0,3600.0
63.0,25800.0,394.0,3600.0
64.0,33000.0,513.0,3600.0
65.0,27600.0,4.0,3600.0
66.0,24600.0,589.0,3600.0
67.0,55800.0,579.0,3600.0
68.0,33000.0,363.0,3600.0
69.0,39000.0,255.0,3600.0
70.0,43200.0,326.0,3600.0
71.0,34800.0,234.0,3600.0
72.0,47400.0,663.0,3600.0
73.0,23400.0,283.0,3600.0
74.0,34200.0,328.0,3600.0
75.0,26400.0,292.0,3600.0
76.0,55800.0,3.0,3600.0
77.0,34200.0,676.0,3600.0
78.0,36000.0,46.0,3600.0
79.0,32400.0,230.0,3600.0
80.0,35400.0,861.0,3600.0
81.0,37200.0,892.0,3600.0
82.0,48600.0,975.0,3600.0
83.0,51000.0,51.0,3600.0
84.0,36600.0,651.0,3600.0
85.0,49200.0,822.0,3600.0
86.0,49200.0,664.0,3600.0
87.0,35400.0,167.0,3600.0
88.0,37800.0,774.0,3600.0
89.0,45600.0,942.0,3600.0
90.0,37200.0,500.0,3600.0
91.0,44400.0,604.0,3600.0
92.0,54000.0,1031.0,3600.0
93.0,5400.0,376.0,3600.0
94.0,48600.0,599.0,3600.0
95.0,55800.0,342.0,3600.0
96.0,24600.0,879.0,3600.0
97.0,31800.0,462.0,3600.0
98.0,29400.0,726.0,3600.0
99.0,57600.0,479.0,3600.0
100.0,36600.0,588.0,3600.0
101.0,36600.0,556.0,3600.0
102.0,40200.0,305.0,3600.0
103.0,55200.0,814.0,3600.0
104.0,27600.0,1034.0,3600.0
105.0,36600.0,286.0,3600.0
106.0,46200.0,319.0,3600.0
107.0,16200.0,140.0,3600.0
108.0,26400.0,651.0,3600.0
109.0,43800.0,241.0,3600.0
110.0,47400.0,549.0,3600.0
111.0,39600.0,990.0,3600.0
112.0,57000.0,693.0,3600.0
113.0,57000.0,494.0,3600.0
114.0,37800.0,577.0,3600.0
115.0,43800.0,251.0,3600.0
116.0,40200.0,620.0,3600.0
117.0,56400.0,60.0,3600.0
118.0,53400.0,205.0,3600.0
119.0,27000.0,829.0,3600.0
120.0,52800.0,103.0,3600.0
121.0,40800.0,495.0,3600.0
122.0,49800.0,830.0,3600.0
123.0,35400.0,469.0,3600.0
124.0,45000.0,909.0,3600.0
125.0,40800.0,544.0,3600.0
126.0,30000.0,619.0,3600.0
127.0,28800.0,857.0,3600.0
128.0,28200.0,132.0,3600.0
129.0,22800.0,928.0,3600.0
130.0,30000.0,502.0,3600.0
131.0,47400.0,916.0,3600.0
132.0,36000.0,842.0,3600.0
133.0,56400.0,256.0,3600.0
134.0,45000.0,101.0,3600.0
135.0,55200.0,244.0,3600.0
136.0,38400.0,64.0,3600.0
137.0,36600.0,270.0,3600.0
138.0,31200.0,300.0,3600.0
139.0,56400.0,720.0,3600.0
140.0,40800.0,217.0,3600.0
141.0,52800.0,186.0,3600.0
142.0,38400.0,119.0,3600.0
143.0,48600.0,568.0,3600.0
144.0,22800.0,202.0,3600.0
145.0,51000.0,583.0,3600.0
146.0,22800.0,801.0,3600.0
147.0,43200.0,162.0,3600.0
148.0,38400.0,52.0,3600.0
149.0,30000.0,888.0,3600.0
150.0,40200.0,99.0,3600.0
151.0,39000.0,473.0,3600.0
152.0,55200.0,411.0,3600.0
153.0,28800.0,137.0,3600.0
154.0,46200.0,301.0,3600.0
155.0,39600.0,305.0,3600.0
156.0,57600.0,361.0,3600.0
157.0,27600.0,1034.0,3600.0
158.0,43800.0,908.0,3600.0
159.0,49800.0,453.0,3600.0
160.0,40200.0,776.0,3600.0
161.0,43800.0,434.0,3600.0
162.0,45000.0,330.0,3600.0
163.0,40800.0,669.0,3600.0
164.0,50400.0,533.0,3600.0
165.0,24600.0,540.0,3600.0
