carrier_id,firm_id,depot_zone,contract_firms,depot_lower,depot_upper,depot_time_before,depot_time_after,c_x,c_y,true_depot_zone,md_D,md_E,hdt_D,hdt_E,hdv_D,hdv_E,ev_type
B2B_2351716_1_0hdv_D,B2B_2351716_1_0,2385.0,['2351716_1_0'],550,1440,15,5,-122.63167320345816,47.55502183877901,2385.0,0.0,0,0.0,0,26.0,0.0,Battery Electric
B2B_2351725_1_1md_D,B2B_2351725_1_1,3854.0,['2351725_1_1'],400,1440,20,10,-122.37796669465752,48.27166772354568,3336.0,26.0,0,0.0,0,0.0,0.0,Battery Electric
B2B_2353923_1_2md_D_0,B2B_2353923_1_2,2416.0,['2353923_1_2'],410,1440,15,5,-122.5297843480666,47.62587569536104,2416.0,55.0,0,28.0,0,30.0,0.0,Battery Electric
B2B_2353923_1_2md_D_1,B2B_2353923_1_2,2416.0,['2353923_1_2'],310,1440,15,5,-122.5297843480666,47.62587569536104,2416.0,55.0,0,28.0,0,30.0,0.0,Battery Electric
B2B_2353923_1_2hdt_D,B2B_2353923_1_2,2416.0,['2353923_1_2'],490,1440,15,5,-122.5297843480666,47.62587569536104,2416.0,55.0,0,28.0,0,30.0,0.0,Battery Electric
B2B_2353923_1_2hdv_D,B2B_2353923_1_2,2416.0,['2353923_1_2'],490,1440,15,5,-122.5297843480666,47.62587569536104,2416.0,55.0,0,28.0,0,30.0,0.0,Battery Electric
B2B_29120_4_3hdv_D,B2B_29120_4_3,3191.0,['29120_4_3'],470,1440,20,5,-122.63406251874072,47.01170184123696,2573.0,0.0,0,0.0,0,29.0,0.0,Battery Electric
B2B_6675404_1_4md_D,B2B_6675404_1_4,2912.0,['6675404_1_4'],340,1440,10,10,-121.57154802106145,47.06787442561271,20095.0,26.0,0,0.0,0,0.0,0.0,Battery Electric
B2B_6710922_2_5md_D,B2B_6710922_2_5,3184.0,['6710922_2_5'],450,1440,10,10,-122.66401776351336,47.10873288512745,4331.0,34.0,0,28.0,0,27.0,0.0,Battery Electric
B2B_6710922_2_5hdt_D,B2B_6710922_2_5,3184.0,['6710922_2_5'],450,1440,10,10,-122.66401776351336,47.10873288512745,4331.0,34.0,0,28.0,0,27.0,0.0,Battery Electric
B2B_6710922_2_5hdv_D,B2B_6710922_2_5,3184.0,['6710922_2_5'],450,1440,10,10,-122.66401776351336,47.10873288512745,4331.0,34.0,0,28.0,0,27.0,0.0,Battery Electric
B2B_693414_3_6hdt_D,B2B_693414_3_6,3249.0,['693414_3_6'],340,1440,25,25,-122.20981561308568,46.79960290846447,2556.0,0.0,0,30.0,0,0.0,0.0,Battery Electric
B2B_713883_1_7md_D,B2B_713883_1_7,2397.0,['713883_1_7'],620,1440,15,20,-122.59451515736652,47.76500396468607,2397.0,28.0,0,26.0,0,28.0,0.0,Battery Electric
B2B_713883_1_7hdt_D,B2B_713883_1_7,2397.0,['713883_1_7'],620,1440,15,20,-122.59451515736652,47.76500396468607,2397.0,28.0,0,26.0,0,28.0,0.0,Battery Electric
B2B_713883_1_7hdv_D,B2B_713883_1_7,2397.0,['713883_1_7'],620,1440,15,20,-122.59451515736652,47.76500396468607,2397.0,28.0,0,26.0,0,28.0,0.0,Battery Electric
B2B_713883_1_8md_D,B2B_713883_1_8,2397.0,['713883_1_8'],470,1440,25,15,-122.59451515736652,47.76500396468607,2397.0,28.0,0,26.0,0,28.0,0.0,Battery Electric
B2B_716399_1_9hdt_D,B2B_716399_1_9,3248.0,['716399_1_9'],660,1440,5,5,-122.22687900228613,46.7689413928168,5169.0,0.0,0,27.0,0,0.0,0.0,Battery Electric
B2B_720291_1_10md_D,B2B_720291_1_10,3191.0,['720291_1_10'],660,1440,10,20,-122.63406251874072,47.01170184123696,4413.0,28.0,0,0.0,0,0.0,0.0,Battery Electric
B2B_726607_2_11md_D,B2B_726607_2_11,2403.0,['726607_2_11'],390,1440,10,25,-122.68453843659402,47.67210858517699,2403.0,43.0,0,29.0,0,32.0,0.0,Battery Electric
B2B_726607_2_11hdt_D,B2B_726607_2_11,2403.0,['726607_2_11'],390,1440,10,25,-122.68453843659402,47.67210858517699,2403.0,43.0,0,29.0,0,32.0,0.0,Battery Electric
B2B_726607_2_11hdv_D,B2B_726607_2_11,2403.0,['726607_2_11'],390,1440,10,25,-122.68453843659402,47.67210858517699,2403.0,43.0,0,29.0,0,32.0,0.0,Battery Electric
B2B_7290_3_12hdv_D,B2B_7290_3_12,2424.0,['7290_3_12'],660,1440,5,20,-122.62757003567656,47.69979293867941,2424.0,0.0,0,0.0,0,29.0,0.0,Battery Electric
B2B_7393200_1_13md_D_0,B2B_7393200_1_13,2510.0,['7393200_1_13'],520,1440,5,5,-122.58676361802988,47.69610387955606,2510.0,53.0,0,0.0,0,37.0,0.0,Battery Electric
B2B_7393200_1_13md_D_1,B2B_7393200_1_13,2510.0,['7393200_1_13'],560,1440,5,5,-122.58676361802988,47.69610387955606,2510.0,53.0,0,0.0,0,37.0,0.0,Battery Electric
B2B_7393200_1_13hdv_D,B2B_7393200_1_13,2510.0,['7393200_1_13'],550,1440,5,5,-122.58676361802988,47.69610387955606,2510.0,53.0,0,0.0,0,37.0,0.0,Battery Electric
B2B_7393200_1_14md_D,B2B_7393200_1_14,2510.0,['7393200_1_14'],790,1440,25,10,-122.58676361802988,47.69610387955606,2510.0,53.0,0,0.0,0,37.0,0.0,Battery Electric
B2B_7432883_3_15hdt_D,B2B_7432883_3_15,3854.0,['7432883_3_15'],570,1440,25,15,-122.37796669465752,48.27166772354568,4561.0,0.0,0,42.0,0,0.0,0.0,Battery Electric
B2B_7480719_3_16hdt_D,B2B_7480719_3_16,3855.0,['7480719_3_16'],720,1440,5,15,-122.22880145083732,48.28090795714298,3403.0,0.0,0,35.0,0,0.0,0.0,Battery Electric
B2B_7480719_4_17hdv_D,B2B_7480719_4_17,3855.0,['7480719_4_17'],320,1440,10,25,-122.22880145083732,48.28090795714298,3403.0,0.0,0,0.0,0,34.0,0.0,Battery Electric
B2B_752360_2_18md_D,B2B_752360_2_18,3181.0,['752360_2_18'],430,1440,20,25,-122.79042669700618,47.2126448710439,4271.0,28.0,0,0.0,0,27.0,0.0,Battery Electric
B2B_752360_2_18hdv_D,B2B_752360_2_18,3181.0,['752360_2_18'],430,1440,20,25,-122.79042669700618,47.2126448710439,4271.0,28.0,0,0.0,0,27.0,0.0,Battery Electric
B2B_768264_3_19hdv_D,B2B_768264_3_19,2442.0,['768264_3_19'],580,1440,15,20,-122.73855212288848,47.624112083098815,2442.0,0.0,0,0.0,0,27.0,0.0,Battery Electric
B2B_774508_1_20md_D,B2B_774508_1_20,2375.0,['774508_1_20'],570,1440,15,15,-122.7018593876718,47.575624443212746,2375.0,29.0,0,0.0,0,0.0,0.0,Battery Electric
B2B_780085_3_21hdv_D,B2B_780085_3_21,2406.0,['780085_3_21'],540,1440,25,20,-122.63942464964713,47.74006381113828,2406.0,0.0,0,0.0,0,27.0,0.0,Battery Electric
B2B_8053972_2_22md_D,B2B_8053972_2_22,2394.0,['8053972_2_22'],580,1440,15,15,-122.69285038848604,47.77424624505615,2394.0,27.0,0,0.0,0,0.0,0.0,Battery Electric
B2B_831981_1_23md_D,B2B_831981_1_23,2393.0,['831981_1_23'],780,1440,5,10,-122.66397306306445,47.808809933110304,911.0,26.0,0,0.0,0,0.0,0.0,Battery Electric
B2B_842037_1_24md_D,B2B_842037_1_24,2358.0,['842037_1_24'],420,1440,20,25,-122.62353005802962,47.57690247945945,2358.0,36.0,0,26.0,0,27.0,0.0,Battery Electric
B2B_842037_1_24hdt_D,B2B_842037_1_24,2358.0,['842037_1_24'],420,1440,20,25,-122.62353005802962,47.57690247945945,2358.0,36.0,0,26.0,0,27.0,0.0,Battery Electric
B2B_842037_1_24hdv_D,B2B_842037_1_24,2358.0,['842037_1_24'],420,1440,20,25,-122.62353005802962,47.57690247945945,2358.0,36.0,0,26.0,0,27.0,0.0,Battery Electric
B2B_842037_1_25md_D,B2B_842037_1_25,2358.0,['842037_1_25'],630,1440,5,20,-122.62353005802962,47.57690247945945,2358.0,36.0,0,26.0,0,27.0,0.0,Battery Electric
B2B_842039_1_26md_D,B2B_842039_1_26,3860.0,['842039_1_26'],480,1440,5,25,-122.18201315878572,48.25233607153138,3368.0,28.0,0,0.0,0,26.0,0.0,Battery Electric
B2B_842039_1_26hdv_D,B2B_842039_1_26,3860.0,['842039_1_26'],480,1440,5,25,-122.18201315878572,48.25233607153138,3368.0,28.0,0,0.0,0,26.0,0.0,Battery Electric
B2B_863237_1_27md_D,B2B_863237_1_27,2442.0,['863237_1_27'],520,1440,5,5,-122.75758613685018,47.61304829987191,2442.0,26.0,0,28.0,0,0.0,0.0,Battery Electric
B2B_863237_1_27hdt_D,B2B_863237_1_27,2442.0,['863237_1_27'],520,1440,5,5,-122.75758613685018,47.61304829987191,2442.0,26.0,0,28.0,0,0.0,0.0,Battery Electric
B2B_863242_1_28hdt_D,B2B_863242_1_28,2398.0,['863242_1_28'],810,1440,10,10,-122.69337612409556,47.69719138598157,2398.0,0.0,0,27.0,0,0.0,0.0,Battery Electric
B2B_871914_1_29md_D,B2B_871914_1_29,3191.0,['871914_1_29'],810,1440,10,25,-122.63406251874072,47.01170184123696,4415.0,35.0,0,26.0,0,27.0,0.0,Battery Electric
B2B_871914_1_29hdt_D,B2B_871914_1_29,3191.0,['871914_1_29'],810,1440,10,25,-122.63406251874072,47.01170184123696,4415.0,35.0,0,26.0,0,27.0,0.0,Battery Electric
B2B_871914_1_29hdv_D,B2B_871914_1_29,3191.0,['871914_1_29'],810,1440,10,25,-122.63406251874072,47.01170184123696,4415.0,35.0,0,26.0,0,27.0,0.0,Battery Electric
