carrier_id,firm_id,depot_zone,contract_firms,depot_lower,depot_upper,depot_time_before,depot_time_after,c_x,c_y,md_D,md_E,hdt_D,hdt_E,hdv_D,hdv_E,ev_type
B2B_98420_0md_D,B2B_98420_0,176,['98420_0'],577,1514,10,20,-97.3092946819527,30.093453629269,18,12,6,5,12,5,Battery Electric
B2B_98420_0md_E,B2B_98420_0,176,['98420_0'],577,1514,10,20,-97.3092946819527,30.093453629269,18,12,6,5,12,5,Battery Electric
B2B_98420_0hdv_D,B2B_98420_0,176,['98420_0'],577,1514,10,20,-97.3092946819527,30.093453629269,18,12,6,5,12,5,Battery Electric
B2B_119437_1md_D_0,B2B_119437_1,166,['119437_1'],444,1383,10,20,-97.3567528575161,30.3296253447903,68,33,36,12,32,14,Battery Electric
B2B_119437_1md_D_1,B2B_119437_1,166,['119437_1'],444,1383,10,20,-97.3567528575161,30.3296253447903,68,33,36,12,32,14,Battery Electric
B2B_119437_1md_D_2,B2B_119437_1,166,['119437_1'],444,1383,10,20,-97.3567528575161,30.3296253447903,68,33,36,12,32,14,Battery Electric
B2B_119437_1md_D_3,B2B_119437_1,166,['119437_1'],444,1383,10,20,-97.3567528575161,30.3296253447903,68,33,36,12,32,14,Battery Electric
B2B_119437_1md_E_0,B2B_119437_1,166,['119437_1'],444,1383,10,20,-97.3567528575161,30.3296253447903,68,33,36,12,32,14,Battery Electric
B2B_119437_1md_E_1,B2B_119437_1,166,['119437_1'],444,1383,10,20,-97.3567528575161,30.3296253447903,68,33,36,12,32,14,Battery Electric
B2B_119437_1hdt_D_0,B2B_119437_1,166,['119437_1'],444,1383,10,20,-97.3567528575161,30.3296253447903,68,33,36,12,32,14,Battery Electric
B2B_119437_1hdt_D_1,B2B_119437_1,166,['119437_1'],444,1383,10,20,-97.3567528575161,30.3296253447903,68,33,36,12,32,14,Battery Electric
B2B_119437_1hdt_E,B2B_119437_1,166,['119437_1'],444,1383,10,20,-97.3567528575161,30.3296253447903,68,33,36,12,32,14,Battery Electric
B2B_119437_1hdv_D_0,B2B_119437_1,166,['119437_1'],444,1383,10,20,-97.3567528575161,30.3296253447903,68,33,36,12,32,14,Battery Electric
B2B_119437_1hdv_D_1,B2B_119437_1,166,['119437_1'],444,1383,10,20,-97.3567528575161,30.3296253447903,68,33,36,12,32,14,Battery Electric
B2B_119437_1hdv_E,B2B_119437_1,166,['119437_1'],444,1383,10,20,-97.3567528575161,30.3296253447903,68,33,36,12,32,14,Battery Electric
B2B_121545_2hdt_D,B2B_121545_2,3148,['121545_2'],421,1640,25,20,-98.23208406606597,30.04127162823274,22,8,38,7,22,7,Battery Electric
B2B_121545_2hdt_E,B2B_121545_2,3148,['121545_2'],421,1640,25,20,-98.23208406606597,30.04127162823274,22,8,38,7,22,7,Battery Electric
B2B_121545_2hdv_D,B2B_121545_2,3148,['121545_2'],421,1640,25,20,-98.23208406606597,30.04127162823274,22,8,38,7,22,7,Battery Electric
