payloadId,sequenceRank,tourId,payloadType,weightInlb,cummulativeWeightInlb,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSec_lower,arrivalTimeWindowInSec_upper,operationDurationInSec,locationZone_x,locationZone_y,true_locationZone,BuyerNAICS,SellerNAICS,truck_mode
food_0,0,0,5,3,3,3,2406.0,50400,25200,79200,1020,-122.6451898,47.7346084,2406.0,NA,NA,ondemand
food_0,1,0,5,-3,0,3,2350.0,51732,25200,79200,300,-122.64412225683857,47.58938252277981,2350.0,NA,NA,ondemand
food_1,0,1,5,8,8,3,2479.0,66600,25200,79200,480,-122.6128454,47.5345741,2479.0,NA,NA,ondemand
food_1,1,1,5,-8,0,3,2350.0,68716,25200,79200,480,-122.65468205038619,47.59509291105165,2350.0,NA,NA,ondemand
food_2,0,2,5,4,4,3,2392.0,50460,25200,79200,720,-122.6630901,47.7603083,2392.0,NA,NA,ondemand
food_2,1,2,5,-4,0,3,2350.0,52614,25200,79200,300,-122.65043485144678,47.58865934189512,2350.0,NA,NA,ondemand
food_3,0,3,5,8,8,3,2355.0,58620,25200,79200,780,-122.6154436,47.5886102,2355.0,NA,NA,ondemand
food_3,1,3,5,-8,0,3,2350.0,59526,25200,79200,180,-122.65336848059137,47.59432484508771,2350.0,NA,NA,ondemand
food_4,0,4,5,2,2,3,2381.0,70200,25200,79200,1020,-122.653618,47.5689457,2381.0,NA,NA,ondemand
food_4,1,4,5,-2,0,3,2352.0,71706,25200,79200,240,-122.6348189512959,47.599851130176944,2352.0,NA,NA,ondemand
food_5,0,5,5,8,8,3,2380.0,55800,25200,79200,780,-122.6675369,47.553691,2380.0,NA,NA,ondemand
food_5,1,5,5,-8,0,3,2353.0,56981,25200,79200,120,-122.63412932886831,47.58913253347033,2353.0,NA,NA,ondemand
food_6,0,6,5,7,7,3,2380.0,43800,25200,79200,720,-122.6673622,47.5621192,2380.0,NA,NA,ondemand
food_6,1,6,5,-7,0,3,2353.0,44921,25200,79200,480,-122.63565460583654,47.588638328943645,2353.0,NA,NA,ondemand
food_7,0,7,5,2,2,3,2396.0,40500,25200,79200,1140,-122.6529977,47.7580256,2396.0,NA,NA,ondemand
food_7,1,7,5,-2,0,3,2353.0,43405,25200,79200,420,-122.63647062683715,47.59196078062107,2353.0,NA,NA,ondemand
food_8,0,8,5,8,8,3,2359.0,55200,25200,79200,420,-122.6136015,47.5704595,2359.0,NA,NA,ondemand
food_8,1,8,5,-8,0,3,2354.0,55872,25200,79200,420,-122.63433278976613,47.58487674520424,2354.0,NA,NA,ondemand
food_9,0,9,5,7,7,3,2392.0,72000,25200,79200,600,-122.661654,47.7619551,2392.0,NA,NA,ondemand
