payload_id,carrier_id,sequence_id,tour_id,commodity,weight,job,pu_zone,del_zone,pu_stop_duration,del_stop_duration,pu_tw_lower,pu_tw_upper,del_tw_lower,del_tw_upper,pu_arrival_time,del_arrival_time,veh_type,del_x,del_y,pu_x,pu_y,ship_index,true_pu_zone,true_del_zone,truck_mode,BuyerNAICS,SellerNAICS
35_B2C235003,B2C_2327305_1,,,5,116,delivery,,2350.0,,49,,,480,1200,,,md_D_Diesel,-122.64982422945101,47.58872364670725,,,internal,,2350.0,For-hire Truck,492000,492000
35_B2C247412,B2C_2327305_1,,,5,103,delivery,,2474.0,,51,,,480,1200,,,md_D_Diesel,-122.5989950703674,47.5289559527046,,,internal,,2474.0,For-hire Truck,492000,492000
35_B2C241103,B2C_6849098_3,,,5,68,delivery,,2411.0,,64,,,480,1200,,,md_D_Diesel,-122.5411550416763,47.695835018808204,,,internal,,2411.0,For-hire Truck,492000,492000
35_B2C235102,B2C_6849098_3,,,5,243,delivery,,2351.0,,72,,,480,1200,,,md_D_Diesel,-122.64712218598926,47.598836940229035,,,internal,,2351.0,For-hire Truck,492000,492000
35_B2C235204,B2C_6849089_3,,,5,136,delivery,,2352.0,,51,,,480,1200,,,md_D_Diesel,-122.63325098010903,47.599638500827545,,,internal,,2352.0,For-hire Truck,492000,492000
35_B2C235214,B2C_6849567_2,,,5,128,delivery,,2352.0,,54,,,480,1200,,,md_D_Diesel,-122.63960248236593,47.60119137786545,,,internal,,2352.0,For-hire Truck,492000,492000
35_B2C251201,B2C_6849567_2,,,5,109,delivery,,2512.0,,54,,,480,1200,,,md_D_Diesel,-122.5599680409323,47.730481253825005,,,internal,,2512.0,For-hire Truck,492000,492000
35_B2C235305,B2C_2331457_2,,,5,82,delivery,,2353.0,,48,,,480,1200,,,md_D_Diesel,-122.63253553941264,47.59490984834412,,,internal,,2353.0,For-hire Truck,492000,492000
35_B2C248814,B2C_2331457_2,,,5,128,delivery,,2488.0,,60,,,480,1200,,,md_D_Diesel,-122.55287813965705,47.49407914314026,,,internal,,2488.0,For-hire Truck,492000,492000
35_B2C235405,B2C_2331457_2,,,5,118,delivery,,2354.0,,67,,,480,1200,,,md_D_Diesel,-122.63312416232277,47.58409019624786,,,internal,,2354.0,For-hire Truck,492000,492000
35_B2C235308,B2C_2327369_1,,,5,113,delivery,,2353.0,,48,,,480,1200,,,md_D_Diesel,-122.63153728305639,47.59151434254825,,,internal,,2353.0,For-hire Truck,492000,492000
35_B2C238629,B2C_2327369_1,,,5,188,delivery,,2386.0,,105,,,480,1200,,,md_D_Diesel,-122.54231479433935,47.899152317136426,,,internal,,2386.0,For-hire Truck,492000,492000
