payload_id,carrier_id,sequence_id,tour_id,commodity,weight,job,pu_zone,del_zone,pu_stop_duration,del_stop_duration,pu_tw_lower,pu_tw_upper,del_tw_lower,del_tw_upper,pu_arrival_time,del_arrival_time,veh_type,del_x,del_y,pu_x,pu_y,ship_index
21_B2C17802,B2C_2879885.0,,,5,43,delivery,,178.0,,30,,,480,1200,,,md_D_Diesel,-97.25370488484639,30.178507714521462,,,internal
21_B2C18131,B2C_2879885.0,,,5,136,delivery,,181.0,,30,,,480,1200,,,md_D_Diesel,-97.26302758901014,30.116750022812724,,,internal
21_B2C15801,B2C_2879885.0,,,5,130,delivery,,158.0,,45,,,480,1200,,,md_D_Diesel,-97.28824576350699,30.35637191358972,,,internal
21_B2C16510,B2C_2879885.0,,,5,49,delivery,,165.0,,45,,,480,1200,,,md_D_Diesel,-97.3688306074084,30.339447528328932,,,internal
21_B2C16916,B2C_2879885.0,,,5,61,delivery,,169.0,,45,,,480,1200,,,md_D_Diesel,-97.36791363424159,30.135674414372,,,internal
21_B2C18104,B2C_2879885.0,,,5,58,delivery,,181.0,,45,,,480,1200,,,md_D_Diesel,-97.23472323660728,30.135615066079684,,,internal
21_B2C16928,B2C_2879885.0,,,5,53,delivery,,169.0,,52,,,480,1200,,,md_D_Diesel,-97.50358387128286,30.18148206482907,,,internal
21_B2C16943,B2C_2879885.0,,,5,114,delivery,,169.0,,67,,,480,1200,,,md_D_Diesel,-97.36765130620057,30.134261389412085,,,internal
21_B2C17812,B2C_2879885.0,,,5,160,delivery,,178.0,,67,,,480,1200,,,md_D_Diesel,-97.24769931233526,30.19321359004825,,,internal
21_B2C17825,B2C_2879885.0,,,5,125,delivery,,178.0,,75,,,480,1200,,,md_D_Diesel,-97.23519802229785,30.252267081269032,,,internal
21_B2C17831,B2C_2879885.0,,,5,123,delivery,,178.0,,90,,,480,1200,,,md_D_Diesel,-97.30312169127427,30.27138456170115,,,internal
21_B2C19207,B2C_2866907.0,,,5,98,delivery,,192.0,,37,,,480,1200,,,md_D_Diesel,-97.48707038659441,30.02790063114189,,,internal
21_B2C16915,B2C_2866907.0,,,5,36,delivery,,169.0,,45,,,480,1200,,,md_D_Diesel,-97.43517828392129,30.18928974128776,,,internal
21_B2C18014,B2C_2866907.0,,,5,48,delivery,,180.0,,45,,,480,1200,,,md_D_Diesel,-97.30047173246128,30.17848335360277,,,internal
21_B2C16426,B2C_2866907.0,,,5,68,delivery,,164.0,,49,,,480,1200,,,md_D_Diesel,-97.39661756835619,30.342531280394937,,,internal
21_B2C19509,B2C_2866907.0,,,5,73,delivery,,195.0,,52,,,480,1200,,,md_D_Diesel,-97.50862579769978,29.970470614292594,,,internal
21_B2C19514,B2C_2866907.0,,,5,53,delivery,,195.0,,52,,,480,1200,,,md_D_Diesel,-97.52450249238619,29.992748216038667,,,internal
21_B2C17504,B2C_2866907.0,,,5,153,delivery,,175.0,,60,,,480,1200,,,md_D_Diesel,-97.31817655861336,30.11858920081437,,,internal
21_B2C18004,B2C_2866907.0,,,5,59,delivery,,180.0,,60,,,480,1200,,,md_D_Diesel,-97.31048797331829,30.164914884383172,,,internal
21_B2C19606,B2C_2866907.0,,,5,181,delivery,,196.0,,60,,,480,1200,,,md_D_Diesel,-97.47522102934973,29.926984853234188,,,internal
21_B2C19442,B2C_2866907.0,,,5,128,delivery,,194.0,,67,,,480,1200,,,md_D_Diesel,-97.61751282736023,30.07676616554786,,,internal
21_B2C15802,B2C_2866907.0,,,5,113,delivery,,158.0,,75,,,480,1200,,,md_D_Diesel,-97.36393255961491,30.393888135635716,,,internal
