carrier_id,firm_id,depot_zone,contract_firms,depot_lower,depot_upper,depot_time_before,depot_time_after,c_x,c_y,true_depot_zone,md_D,md_E,hdt_D,hdt_E,hdv_D,hdv_E,ev_type
B2C_2327305_1,B2C_2327305_1,1510,Nan,420,1020,0,15,-122.15579964384534,47.589420220867325,1626.0,11.0,10,10,10,10,10,Battery Electric
B2C_6849098_3,B2C_6849098_3,1728,Nan,370,970,0,25,-122.21862319214802,47.72291964108047,1530.0,30.0,10,10,10,10,10,Battery Electric
B2C_6849089_3,B2C_6849089_3,802,Nan,500,1100,0,0,-122.34273076230576,47.52708723359917,1367.0,30.0,10,10,10,10,10,Battery Electric
B2C_6849567_2,B2C_6849567_2,2511,Nan,420,1020,0,20,-122.3134635019043,47.83436958435193,3618.0,15.0,10,10,10,10,10,Battery Electric
B2C_2331457_2,B2C_2331457_2,269,Nan,420,1020,15,0,-122.3470781830526,47.66284012043353,1106.0,11.0,10,10,10,10,10,Battery Electric
B2C_2327369_1,B2C_2327369_1,2493,Nan,440,1040,10,25,-122.2931299967151,47.867601785286446,3538.0,15.0,10,10,10,10,10,Battery Electric
B2C_2331474_2,B2C_2331474_2,636,Nan,570,1170,10,5,-122.32050117187798,47.593970667115705,1266.0,11.0,10,10,10,10,10,Battery Electric
B2C_6849090_1,B2C_6849090_1,404,Nan,400,1000,15,20,-122.34024945883137,47.637920907318886,1174.0,12.0,10,10,10,10,10,Battery Electric
B2C_2327348_3,B2C_2327348_3,2084,Nan,310,910,0,25,-122.45672345399149,47.42894838795812,1821.0,11.0,10,10,10,10,10,Battery Electric
B2C_2327308_2,B2C_2327308_2,444,Nan,370,970,10,20,-122.36505798031082,47.62357512079287,1190.0,15.0,10,10,10,10,10,Battery Electric
B2C_2327345_2,B2C_2327345_2,1734,Nan,470,1070,20,0,-122.17684005112652,47.71974160216226,1487.0,15.0,10,10,10,10,10,Battery Electric
B2C_2331460_1,B2C_2331460_1,864,Nan,420,1020,15,10,-122.34824398873894,47.5113066971383,1791.0,15.0,10,10,10,10,10,Battery Electric
B2C_2327341_2,B2C_2327341_2,1878,Nan,340,940,20,10,-122.34253066600446,47.73941169218612,1450.0,15.0,10,10,10,10,10,Battery Electric
B2C_2331459_2,B2C_2331459_2,396,Nan,490,1090,15,0,-122.3665060344986,47.6288229847731,1182.0,11.0,10,10,10,10,10,Battery Electric
B2C_2331456_2,B2C_2331456_2,864,Nan,530,1130,5,20,-122.35328799156588,47.50829873290952,1791.0,11.0,10,10,10,10,10,Battery Electric
