payload_id,carrier_id,sequence_id,tour_id,commodity,weight,job,pu_zone,del_zone,pu_stop_duration,del_stop_duration,pu_tw_lower,pu_tw_upper,del_tw_lower,del_tw_upper,pu_arrival_time,del_arrival_time,veh_type,del_x,del_y,pu_x,pu_y,ship_index
21_B2C17802,B2C_2879885.0,,,5,43,delivery,,178,,30,,,480,1200,,,md_E_Battery Electric,-97.25370488,30.17850771,,,internal
21_B2C18131,B2C_2879885.0,,,5,136,delivery,,181,,30,,,480,1200,,,md_E_Battery Electric,-97.26302759,30.11675002,,,internal
21_B2C15801,B2C_2879885.0,,,5,130,delivery,,158,,45,,,480,1200,,,md_E_Battery Electric,-97.28824576,30.35637191,,,internal
21_B2C16510,B2C_2879885.0,,,5,49,delivery,,165,,45,,,480,1200,,,md_E_Battery Electric,-97.36883061,30.33944753,,,internal
21_B2C16916,B2C_2879885.0,,,5,61,delivery,,169,,45,,,480,1200,,,md_E_Battery Electric,-97.36791363,30.13567441,,,internal
21_B2C18104,B2C_2879885.0,,,5,58,delivery,,181,,45,,,480,1200,,,md_E_Battery Electric,-97.23472324,30.13561507,,,internal
21_B2C16928,B2C_2879885.0,,,5,53,delivery,,169,,52,,,480,1200,,,md_E_Battery Electric,-97.50358387,30.18148206,,,internal
21_B2C16943,B2C_2879885.0,,,5,114,delivery,,169,,67,,,480,1200,,,md_E_Battery Electric,-97.36765131,30.13426139,,,internal
21_B2C17812,B2C_2879885.0,,,5,160,delivery,,178,,67,,,480,1200,,,md_E_Battery Electric,-97.24769931,30.19321359,,,internal
21_B2C17825,B2C_2879885.0,,,5,125,delivery,,178,,75,,,480,1200,,,md_E_Battery Electric,-97.23519802,30.25226708,,,internal
21_B2C17831,B2C_2879885.0,,,5,123,delivery,,178,,90,,,480,1200,,,md_E_Battery Electric,-97.30312169,30.27138456,,,internal
21_B2C19207,B2C_2866907.0,,,5,98,delivery,,192,,37,,,480,1200,,,md_E_Battery Electric,-97.48707039,30.02790063,,,internal
21_B2C16915,B2C_2866907.0,,,5,36,delivery,,169,,45,,,480,1200,,,md_E_Battery Electric,-97.43517828,30.18928974,,,internal
21_B2C18014,B2C_2866907.0,,,5,48,delivery,,180,,45,,,480,1200,,,md_E_Battery Electric,-97.30047173,30.17848335,,,internal
21_B2C16426,B2C_2866907.0,,,5,68,delivery,,164,,49,,,480,1200,,,md_E_Battery Electric,-97.39661757,30.34253128,,,internal
21_B2C19509,B2C_2866907.0,,,5,73,delivery,,195,,52,,,480,1200,,,md_E_Battery Electric,-97.5086258,29.97047061,,,internal
21_B2C19514,B2C_2866907.0,,,5,53,delivery,,195,,52,,,480,1200,,,md_E_Battery Electric,-97.52450249,29.99274822,,,internal
21_B2C17504,B2C_2866907.0,,,5,153,delivery,,175,,60,,,480,1200,,,md_E_Battery Electric,-97.31817656,30.1185892,,,internal
21_B2C18004,B2C_2866907.0,,,5,59,delivery,,180,,60,,,480,1200,,,md_E_Battery Electric,-97.31048797,30.16491488,,,internal
21_B2C19606,B2C_2866907.0,,,5,181,delivery,,196,,60,,,480,1200,,,md_E_Battery Electric,-97.47522103,29.92698485,,,internal
21_B2C19442,B2C_2866907.0,,,5,128,delivery,,194,,67,,,480,1200,,,md_E_Battery Electric,-97.61751283,30.07676617,,,internal
21_B2C15802,B2C_2866907.0,,,5,113,delivery,,158,,75,,,480,1200,,,md_E_Battery Electric,-97.36393256,30.39388814,,,internal
21_B2C17308,B2C_2866907.0,,,5,131,delivery,,173,,75,,,480,1200,,,md_E_Battery Electric,-97.33515563,30.14527425,,,internal
21_B2C17506,B2C_2866907.0,,,5,114,delivery,,175,,75,,,480,1200,,,md_E_Battery Electric,-97.3167697,30.11399873,,,internal
21_B2C19512,B2C_2866907.0,,,5,94,delivery,,195,,75,,,480,1200,,,md_E_Battery Electric,-97.50465157,29.95495709,,,internal
21_B2C19519,B2C_2866907.0,,,5,79,delivery,,195,,82,,,480,1200,,,md_E_Battery Electric,-97.54523197,30.00571187,,,internal
21_B2C16002,B2C_2866907.0,,,5,205,delivery,,160,,90,,,480,1200,,,md_E_Battery Electric,-97.47258005,30.23695729,,,internal
