carrier_id,firm_id,depot_zone,contract_firms,depot_lower,depot_upper,depot_time_before,depot_time_after,c_x,c_y,md_D,md_E,hdt_D,hdt_E,hdv_D,hdv_E,ev_type
B2C_2879885.0,B2C_2879885.0,5978,Nan,477,1077,10,10,-97.5748690817459,30.4702771187923,12,10,10,10,10,10,Battery Electric
B2C_2866907.0,B2C_2866907.0,6046,Nan,910,1380,5,15,-97.7013631200477,30.2834411098424,15,10,10,10,10,10,Battery Electric
B2C_2866917.0,B2C_2866917.0,5935,Nan,456,1056,0,0,-97.5916263827631,30.4047970651335,15,10,10,10,10,10,Battery Electric
B2C_2863028.0,B2C_2863028.0,6677,Nan,924,1380,25,25,-97.6756913921418,30.4916140373944,13,10,10,10,10,10,Battery Electric
B2C_2863679.0,B2C_2863679.0,5893,Nan,420,1020,25,25,-97.7196316677682,30.3748625114796,13,10,10,10,10,10,Battery Electric
B2C_2863678.0,B2C_2863678.0,5954,Nan,343,943,25,0,-97.7027091134389,30.4079413360504,13,10,10,10,10,10,Battery Electric
B2C_2879915.0,B2C_2879915.0,6664,Nan,897,1380,10,5,-97.6942622245451,30.5140904079468,12,10,10,10,10,10,Battery Electric
B2C_2861706.0,B2C_2861706.0,5644,Nan,369,969,20,5,-97.7044906536551,30.2777707311367,35,11,10,10,10,10,Battery Electric
B2C_2857125.0,B2C_2857125.0,6042,Nan,653,1253,10,15,-97.6759111535596,30.3011381989863,14,10,10,10,10,10,Battery Electric
B2C_2861707.0,B2C_2861707.0,5978,Nan,547,1147,5,0,-97.5840873860527,30.484024319747,34,12,10,10,10,10,Battery Electric
B2C_2875885.0,B2C_2875885.0,5986,Nan,452,1052,10,15,-97.6351607084607,30.4512495837391,16,10,10,10,10,10,Battery Electric
B2C_2863684.0,B2C_2863684.0,5937,Nan,841,1380,5,20,-97.6980941037328,30.388082817262,13,10,10,10,10,10,Battery Electric
B2C_2863687.0,B2C_2863687.0,5626,Nan,584,1184,10,0,-97.7133004231285,30.2843747683736,13,10,10,10,10,10,Battery Electric
B2C_2857113.0,B2C_2857113.0,5953,Nan,616,1216,15,0,-97.7107681011506,30.3991558651137,13,11,10,10,10,10,Battery Electric
B2C_2863681.0,B2C_2863681.0,6032,Nan,460,1060,25,20,-97.6917541422529,30.3204894068336,12,11,10,10,10,10,Battery Electric
B2C_2857123.0,B2C_2857123.0,5627,Nan,860,1380,10,15,-97.7204735194013,30.2813760688021,14,10,10,10,10,10,Battery Electric
B2C_2863683.0,B2C_2863683.0,5896,Nan,691,1291,5,10,-97.7048519196348,30.378764376365,13,10,10,10,10,10,Battery Electric
B2C_2863685.0,B2C_2863685.0,6033,Nan,506,1106,5,0,-97.7034532920156,30.3129535607016,12,11,10,10,10,10,Battery Electric
B2C_2875880.0,B2C_2875880.0,5912,Nan,346,946,15,15,-97.7111746442182,30.4131441574587,15,11,10,10,10,10,Battery Electric
B2C_2857126.0,B2C_2857126.0,5738,Nan,520,1120,5,0,-97.7953571904056,30.214658071198,14,10,10,10,10,10,Battery Electric
B2C_2857129.0,B2C_2857129.0,5710,Nan,760,1360,10,20,-97.7674791475716,30.284122959397,14,10,10,10,10,10,Battery Electric
B2C_2875881.0,B2C_2875881.0,6148,Nan,432,1032,10,15,-97.7431087909229,30.145201261294,16,10,10,10,10,10,Battery Electric
B2C_2863673.0,B2C_2863673.0,6098,Nan,727,1327,5,25,-97.7191406084845,30.2301955291374,13,10,10,10,10,10,Battery Electric
B2C_2860060.0,B2C_2860060.0,6083,Nan,534,1134,25,5,-97.7481155564195,30.2211666994501,17,10,10,10,10,10,Battery Electric
B2C_2863671.0,B2C_2863671.0,5729,Nan,824,1380,25,25,-97.769945587986,30.3736182468385,13,10,10,10,10,10,Battery Electric
B2C_2863677.0,B2C_2863677.0,5622,Nan,589,1189,20,10,-97.708334934309,30.291719330236,13,10,10,10,10,10,Battery Electric
B2C_2866911.0,B2C_2866911.0,5932,Nan,708,1308,5,20,-97.6408648741287,30.4429512172752,15,10,10,10,10,10,H2 Fuel Cell
B2C_2866294.0,B2C_2866294.0,5696,Nan,457,1057,0,25,-97.7474008951243,30.3390111284512,19,10,10,10,10,10,Battery Electric
B2C_2866760.0,B2C_2866760.0,6675,Nan,467,1067,10,20,-97.6440725973358,30.4799245810315,15,10,10,10,10,10,Battery Electric
B2C_2862192.0,B2C_2862192.0,5968,Nan,450,1050,25,0,-97.5867995556076,30.4825157120598,536,32,10,10,10,10,Battery Electric
B2C_2878330.0,B2C_2878330.0,6683,Nan,485,1085,10,20,-97.6169333048435,30.5013030793711,15,10,10,10,10,10,Battery Electric
B2C_2860059.0,B2C_2860059.0,5613,Nan,397,997,0,25,-97.7258237332644,30.3050631687588,17,10,10,10,10,10,H2 Fuel Cell
B2C_2879884.0,B2C_2879884.0,6089,Nan,533,1133,15,5,-97.7485720950555,30.2215415436549,12,10,10,10,10,10,Battery Electric
B2C_2879886.0,B2C_2879886.0,6027,Nan,877,1380,5,5,-97.7840074546245,30.2387233182109,12,10,10,10,10,10,Battery Electric
B2C_2857132.0,B2C_2857132.0,6094,Nan,870,1380,20,0,-97.6887380992534,30.2307819280217,14,10,10,10,10,10,Battery Electric
B2C_2861708.0,B2C_2861708.0,5759,Nan,524,1124,25,20,-97.8170827750627,30.1923037928342,34,12,10,10,10,10,Battery Electric
B2C_2863680.0,B2C_2863680.0,5927,Nan,951,1380,20,25,-97.6493222733766,30.4313073137401,12,11,10,10,10,10,Battery Electric
B2C_2863682.0,B2C_2863682.0,5629,Nan,890,1380,25,5,-97.7335027091649,30.2984642760268,13,10,10,10,10,10,Battery Electric
B2C_2857130.0,B2C_2857130.0,5802,Nan,757,1357,15,20,-97.737418407864,30.3941586290829,14,10,10,10,10,10,Battery Electric
B2C_2866292.0,B2C_2866292.0,6115,Nan,565,1165,15,20,-97.7616978509612,30.2079453572466,18,11,10,10,10,10,Battery Electric
B2C_2879892.0,B2C_2879892.0,5788,Nan,465,1065,15,20,-97.8434192979498,30.162761405313,12,10,10,10,10,10,Battery Electric
B2C_2866919.0,B2C_2866919.0,5626,Nan,445,1045,25,0,-97.7120311607552,30.2825389061872,15,10,10,10,10,10,Battery Electric
B2C_2857131.0,B2C_2857131.0,6044,Nan,747,1347,5,25,-97.6698608288074,30.3065511351732,14,10,10,10,10,10,Battery Electric
B2C_2857133.0,B2C_2857133.0,5912,Nan,455,1055,15,5,-97.7204044918677,30.4108419176316,14,10,10,10,10,10,Battery Electric
B2C_2879894.0,B2C_2879894.0,5941,Nan,538,1138,5,25,-97.6891852324307,30.3924245415695,12,10,10,10,10,10,Battery Electric
B2C_2857124.0,B2C_2857124.0,5619,Nan,506,1106,20,25,-97.7299855247906,30.3132272664848,14,10,10,10,10,10,Battery Electric
B2C_2866905.0,B2C_2866905.0,5642,Nan,636,1236,25,0,-97.7370798285306,30.280265264643,15,10,10,10,10,10,Battery Electric
B2C_2875883.0,B2C_2875883.0,5901,Nan,783,1380,25,10,-97.7042686801398,30.3702191023911,16,10,10,10,10,10,Battery Electric
B2C_2875886.0,B2C_2875886.0,5870,Nan,657,1257,5,10,-97.6981849037071,30.3426940815711,15,11,10,10,10,10,Battery Electric
B2C_2857119.0,B2C_2857119.0,6127,Nan,465,1065,5,0,-97.7465801321962,30.18976023869,14,10,10,10,10,10,Battery Electric
B2C_2879887.0,B2C_2879887.0,6148,Nan,747,1347,25,15,-97.7514276359028,30.1293264852997,12,10,10,10,10,10,Battery Electric
B2C_2879888.0,B2C_2879888.0,6090,Nan,734,1334,15,20,-97.6528187602176,30.2129660312026,11,11,10,10,10,10,Battery Electric
