payload_id,carrier_id,sequence_id,tour_id,commodity,weight,job,pu_zone,del_zone,pu_stop_duration,del_stop_duration,pu_tw_lower,pu_tw_upper,del_tw_lower,del_tw_upper,pu_arrival_time,del_arrival_time,veh_type,del_x,del_y,pu_x,pu_y,ship_index,true_pu_zone,true_del_zone,truck_mode,BuyerNAICS,SellerNAICS
35_B2B196,B2B_2351716_1_0hdv_D,,,4,286.9444444444444,delivery,,3181.0,,5,,,540,1680,,,hdv_D_Diesel,-122.79042669700618,47.2126448710439,,,external,,4355.0,Private Truck,541610,511120
35_B2B197,B2B_2351725_1_1md_D,,,4,289.96875,delivery,,2431.0,,17,,,583,1440,,,md_D_Diesel,-122.66152469563912,47.67868258591789,,,internal,,2431.0,Private Truck,813A00,511120
35_B2B14,B2B_2353923_1_2md_D_0,,,4,287.8054922975742,delivery,,2385.0,,13,,,467,1440,,,md_D_Diesel,-122.64940991287051,47.55890733732591,,,internal,,2385.0,Private Truck,624A00,511130
35_B2B15,B2B_2353923_1_2md_D_0,,,4,287.9471316085488,delivery,,2009.0,,18,,,450,1440,,,md_D_Diesel,-122.36188488737974,47.325227166762204,,,internal,,2009.0,Private Truck,813100,511130
35_B2B16,B2B_2353923_1_2md_D_0,,,4,287.9737012987012,delivery,,1552.0,,9,,,458,1440,,,md_D_Diesel,-122.16594884569668,47.689509105821806,,,internal,,1552.0,Private Truck,511130,511130
35_B2B17,B2B_2353923_1_2md_D_0,,,4,287.9737012987012,delivery,,1552.0,,19,,,530,1440,,,md_D_Diesel,-122.17760712906366,47.70151383437654,,,internal,,1552.0,Private Truck,511130,511130
35_B2B18,B2B_2353923_1_2md_D_0,,,4,287.9737012987012,delivery,,2264.0,,11,,,426,1440,,,md_D_Diesel,-122.08209088764143,47.67036606729654,,,internal,,2264.0,Private Truck,511130,511130
35_B2B19,B2B_2353923_1_2md_D_0,,,4,287.9737012987012,delivery,,2264.0,,6,,,548,1440,,,md_D_Diesel,-122.08637930136447,47.67198897576457,,,internal,,2264.0,Private Truck,511130,511130
35_B2B20,B2B_2353923_1_2md_D_0,,,4,287.9737012987012,delivery,,2264.0,,20,,,416,1440,,,md_D_Diesel,-122.09182337878308,47.66972525821744,,,internal,,2264.0,Private Truck,511130,511130
35_B2B25,B2B_2353923_1_2md_D_0,,,4,287.9761006289308,delivery,,962.0,,15,,,650,1440,,,md_D_Diesel,-122.31101155798294,47.71331751600318,,,internal,,962.0,Private Truck,621400,511130
35_B2B26,B2B_2353923_1_2md_D_0,,,4,287.9761006289308,delivery,,962.0,,17,,,449,1440,,,md_D_Diesel,-122.30782869849276,47.714546592914246,,,internal,,962.0,Private Truck,621400,511130
35_B2B27,B2B_2353923_1_2md_D_0,,,4,287.97717424608436,delivery,,3606.0,,10,,,499,1440,,,md_D_Diesel,-122.3084448547981,47.809695790748655,,,internal,,3606.0,Private Truck,492000,511130
