veh_type_id,veh_category,veh_class,body_type,commodities,weight,length,payload_capacity_weight,payload_capacity_cbf,max_speed,primary_fuel_type,secondary_fuel_type,primary_fuel_rate,secondary_fuel_rate,Automation level,monetary cost
1,MD,NA,NA,"[1, 2, 3, 4]",10000,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA
2,HD,NA,NA,"[1, 2, 3, 4]",20000,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA
