payload_id,carrier_id,sequence_id,tour_id,commodity,weight,job,pu_zone,del_zone,pu_stop_duration,del_stop_duration,pu_tw_lower,pu_tw_upper,del_tw_lower,del_tw_upper,pu_arrival_time,del_arrival_time
0,692698,,,3,1.32,delivery,,313,,9,,,300,1200,,
1,732013,,,4,1.2055,delivery,,20009,,18,,,300,1200,,
2,732036,,,4,2.25,delivery,,20011,,10,,,300,1200,,
3,732042,,,4,3.7775,delivery,,20114,,13,,,300,1200,,
4,749269,,,4,7.0095,delivery,,328,,7,,,300,1200,,
5,749269,,,4,0.656,delivery,,20122,,10,,,300,1200,,
6,751485,,,4,0.6175,delivery,,20115,,9,,,300,1200,,
7,757288,,,3,1.202,delivery,,7967,,20,,,300,1200,,
8,766771,,,3,1.338,delivery,,20009,,16,,,300,1200,,
9,795227,,,4,0.7845,delivery,,20092,,19,,,300,1200,,
10,801094,,,4,1.4235,delivery,,20009,,14,,,300,1200,,
11,815836,,,4,9.399,delivery,,20010,,5,,,300,1200,,
12,820664,,,4,0.759,delivery,,20005,,16,,,300,1200,,
13,905841,,,4,1.058,delivery,,20115,,13,,,300,1200,,
14,920067,,,4,1.02,delivery,,20010,,13,,,300,1200,,
15,920079,,,4,0.938,delivery,,20064,,9,,,300,1200,,
16,920086,,,4,0.8415,delivery,,20009,,7,,,300,1200,,
17,925085,,,4,1.09,delivery,,20009,,5,,,300,1200,,
18,930516,,,1,3.538,delivery,,1089,,9,,,300,1200,,
19,930516,,,1,14.876,delivery,,20009,,12,,,300,1200,,
20,946498,,,3,1.051,delivery,,417,,16,,,300,1200,,
21,946502,,,3,19.4345,delivery,,349,,6,,,300,1200,,
22,952310,,,3,1.12,delivery,,20109,,19,,,300,1200,,
23,952350,,,3,0.8125,delivery,,20009,,17,,,300,1200,,
24,952357,,,3,0.7,delivery,,20109,,11,,,300,1200,,
25,952402,,,3,17.6225,delivery,,20009,,12,,,300,1200,,
26,974148,,,5,1.351,delivery,,20063,,9,,,300,1200,,
27,974149,,,3,1.076,delivery,,537,,5,,,300,1200,,
28,974195,,,3,1.918,delivery,,20092,,5,,,300,1200,,
29,1006717,,,1,0.993,delivery,,20115,,13,,,300,1200,,
30,1006742,,,1,0.706,delivery,,20010,,19,,,300,1200,,
31,1011925,,,1,2.77,delivery,,379,,5,,,300,1200,,
32,1011925,,,1,0.901,delivery,,20009,,11,,,300,1200,,
33,1011939,,,1,4.1635,delivery,,20115,,17,,,300,1200,,
34,1016696,,,1,22.0285,delivery,,337,,82,,,300,1200,,
35,1016698,,,1,8.327,delivery,,20127,,18,,,300,1200,,
36,1016703,,,1,1.7945,delivery,,20006,,9,,,300,1200,,
37,1016708,,,1,3.701,delivery,,20009,,5,,,300,1200,,
38,1100865,,,4,1.0895,delivery,,20057,,7,,,300,1200,,
39,1172547,,,2,4.1975,delivery,,20092,,13,,,300,1200,,
40,1172547,,,2,1.784,delivery,,20007,,20,,,300,1200,,
41,1175907,,,2,2.147,delivery,,8724,,5,,,300,1200,,
42,6435235,,,1,10.3885,delivery,,20007,,23,,,300,1200,,
43,6447855,,,3,1.0685,delivery,,7641,,7,,,300,1200,,
44,6449103,,,4,0.954,delivery,,20009,,7,,,300,1200,,
45,6449103,,,4,0.722,delivery,,20009,,5,,,300,1200,,
46,6449107,,,4,0.796,delivery,,20009,,15,,,300,1200,,
47,6452175,,,4,0.6755,delivery,,20005,,8,,,300,1200,,
48,6453246,,,3,0.938,delivery,,1596,,11,,,300,1200,,
49,6453610,,,3,0.88,delivery,,20007,,13,,,300,1200,,
50,6458376,,,3,1.6795,delivery,,5300,,14,,,300,1200,,
51,6459292,,,3,2.134,delivery,,20009,,8,,,300,1200,,
52,6492722,,,4,1.583,delivery,,20029,,15,,,300,1200,,
53,6506557,,,3,0.736,delivery,,20009,,5,,,300,1200,,
54,6506560,,,3,0.875,delivery,,4286,,12,,,300,1200,,
55,6507768,,,3,5.682,delivery,,20128,,18,,,300,1200,,
56,6507780,,,3,1.5135,delivery,,20092,,18,,,300,1200,,
57,6511158,,,3,0.706,delivery,,20115,,15,,,300,1200,,
58,6517293,,,1,0.712,delivery,,20009,,8,,,300,1200,,
59,6517299,,,1,2.822,delivery,,20115,,5,,,300,1200,,
60,6528960,,,4,6.8005,delivery,,20009,,15,,,300,1200,,
61,6541910,,,2,0.7045,delivery,,787,,14,,,300,1200,,
62,6541910,,,2,0.991,delivery,,6680,,10,,,300,1200,,
63,6541910,,,2,0.788,delivery,,1971,,6,,,300,1200,,
64,6541910,,,2,0.6705,delivery,,20010,,12,,,300,1200,,
65,7213588,,,3,4.7555,delivery,,20009,,5,,,300,1200,,
66,7216138,,,3,6.96,delivery,,20009,,12,,,300,1200,,
67,7219043,,,4,0.594,delivery,,6233,,9,,,300,1200,,
