payload_id,carrier_id,commodity,weight,job,pu_zone,del_zone,pu_stop_duration,del_stop_duration,pu_tw_lower,pu_tw_upper,del_tw_lower,del_tw_upper,sequence_id,tour_id,pu_arrival_time,del_arrival_time
0,47,1,6145,delivery,0.0,310,0.0,7,0.0,0.0,300,1200,1,0,300.0,0.0
1,382,1,13574,delivery,0.0,316,0.0,18,0.0,0.0,300,1200,1,1,300.0,0.0
2,383,1,6888,delivery,0.0,300,0.0,5,0.0,0.0,300,1200,1,2,300.0,0.0
3,384,1,13574,delivery,0.0,316,0.0,30,0.0,0.0,300,1200,1,3,300.0,0.0
4,386,1,5358,delivery,0.0,316,0.0,14,0.0,0.0,300,1200,1,4,300.0,0.0
7,1457,1,5358,delivery,0.0,316,0.0,12,0.0,0.0,300,1200,1,5,300.0,0.0
8,1459,1,5358,delivery,0.0,316,0.0,10,0.0,0.0,300,1200,1,6,300.0,0.0
9,1463,1,6658,delivery,0.0,476,0.0,5,0.0,0.0,300,1200,1,7,300.0,0.0
12,1467,1,427,delivery,0.0,652,0.0,11,0.0,0.0,300,1200,1,8,300.0,0.0
14,1473,1,5358,delivery,0.0,316,0.0,11,0.0,0.0,300,1200,1,9,300.0,0.0
20,1493,1,5358,delivery,0.0,316,0.0,23,0.0,0.0,300,1200,1,10,300.0,0.0
21,1495,1,13574,delivery,0.0,316,0.0,6,0.0,0.0,300,1200,1,11,300.0,0.0
23,1503,1,1015,delivery,0.0,3869,0.0,13,0.0,0.0,300,1200,1,12,300.0,0.0
24,1505,1,12,delivery,0.0,376,0.0,12,0.0,0.0,300,1200,1,13,300.0,0.0
25,1509,1,133,delivery,0.0,332,0.0,17,0.0,0.0,300,1200,1,14,300.0,0.0
26,1511,1,13574,delivery,0.0,316,0.0,30,0.0,0.0,300,1200,1,15,300.0,0.0
28,1515,1,6658,delivery,0.0,476,0.0,6,0.0,0.0,300,1200,1,16,300.0,0.0
29,1519,1,9,delivery,0.0,283,0.0,17,0.0,0.0,300,1200,1,17,300.0,0.0
