carrier_id,firm_id,depot_zone,contract_firms,num_veh_type_1,num_veh_type_2,num_veh_type_3,num_veh_type_4,num_veh_type_5,num_veh_type_6,num_veh_type_7,num_veh_type_8,num_veh_type_9,depot_lower,depot_upper,depot_time_before,depot_time_after
8654,8654,1004,[8654],5,11,,,,,,,,730,57600,10,15
8655,8655,794,[8655],5,7,,,,,,,,920,57600,20,5
686553,686553,836,[686553],2,10,,,,,,,,560,57600,25,5
686779,686779,396,[686779],2,4,,,,,,,,830,57600,20,15
686905,686905,114,[686905],2,12,,,,,,,,300,57600,5,25
688182,688182,122,[688182],0,8,,,,,,,,710,57600,10,20
688382,688382,413,[688382],2,5,,,,,,,,450,57600,25,25
688779,688779,924,[688779],2,7,,,,,,,,380,57600,10,0
688861,688861,1034,[688861],3,6,,,,,,,,380,57600,5,15
688961,688961,585,[688961],9,9,,,,,,,,690,57600,15,5
688995,688995,283,[688995],6,8,,,,,,,,690,57600,0,15
689298,689298,462,[689298],5,7,,,,,,,,450,57600,15,20
689299,689299,899,[689299],1,11,,,,,,,,790,57600,10,0
689300,689300,187,[689300],6,6,,,,,,,,740,57600,20,25
689610,689610,502,[689610],2,10,,,,,,,,520,57600,20,5
689611,689611,145,[689611],3,7,,,,,,,,270,57600,10,20
690817,690817,992,[690817],7,7,,,,,,,,340,57600,0,25
690818,690818,49,[690818],5,9,,,,,,,,540,57600,15,20
690820,690820,276,[690820],4,8,,,,,,,,570,57600,0,20
690821,690821,584,[690821],4,6,,,,,,,,880,57600,20,15
691607,691607,399,[691607],10,6,,,,,,,,940,57600,15,10
691608,691608,381,[691608],4,7,,,,,,,,790,57600,20,0
691609,691609,727,[691609],2,10,,,,,,,,670,57600,10,5
692696,692696,236,[692696],4,7,,,,,,,,580,57600,5,25
692698,692698,761,[692698],2,14,,,,,,,,850,57600,10,0
692699,692699,706,[692699],4,8,,,,,,,,470,57600,0,0
692700,692700,796,[692700],6,3,,,,,,,,590,57600,10,0
692704,692704,587,[692704],2,5,,,,,,,,810,57600,5,5
692705,692705,717,[692705],4,6,,,,,,,,730,57600,15,0
692708,692708,598,[692708],6,8,,,,,,,,420,57600,20,5
692712,692712,634,[692712],5,8,,,,,,,,540,57600,0,10
692715,692715,1007,[692715],5,8,,,,,,,,560,57600,10,25
692717,692717,354,[692717],2,8,,,,,,,,640,57600,0,10
692718,692718,991,[692718],6,8,,,,,,,,550,57600,0,15
692725,692725,106,[692725],8,7,,,,,,,,660,57600,5,10
692726,692726,256,[692726],7,5,,,,,,,,810,57600,0,0
692727,692727,475,[692727],5,5,,,,,,,,790,57600,10,5
697582,697582,514,[697582],1,7,,,,,,,,460,57600,20,10
697585,697585,518,[697585],6,10,,,,,,,,710,57600,10,15
697592,697592,996,[697592],3,7,,,,,,,,910,57600,20,25
699127,699127,463,[699127],7,8,,,,,,,,920,57600,5,15
699128,699128,746,[699128],3,9,,,,,,,,790,57600,25,5
699129,699129,321,[699129],2,7,,,,,,,,610,57600,0,0
699130,699130,216,[699130],7,13,,,,,,,,620,57600,20,5
699329,699329,1042,[699329],6,10,,,,,,,,700,57600,25,15
