payload_id,carrier_id,sequence_id,tour_id,commodity,weight,job,pu_zone,del_zone,pu_stop_duration,del_stop_duration,pu_tw_lower,pu_tw_upper,del_tw_lower,del_tw_upper,pu_arrival_time,del_arrival_time
0,685623.0,,,1.0,126.13962264150943,delivery,,7072.0,,5,,,300,28800,,
1,685623.0,,,1.0,215.4566037735849,delivery,,7550.0,,29,,,300,28800,,
2,685623.0,,,1.0,251.91666666666666,delivery,,20005.0,,25,,,300,28800,,
3,685624.0,,,1.0,510.3333333333334,delivery,,20009.0,,73,,,300,28800,,
4,685624.0,,,1.0,175.07169811320756,delivery,,20009.0,,11,,,300,28800,,
5,685624.0,,,1.0,588.0,delivery,,20011.0,,12,,,300,28800,,
6,685624.0,,,1.0,957.3333333333334,delivery,,20114.0,,90,,,300,28800,,
7,686779.0,,,3.0,132.35094339622643,delivery,,3774.0,,17,,,300,28800,,
8,688995.0,,,3.0,550.9166666666666,delivery,,20009.0,,18,,,300,28800,,
9,691608.0,,,3.0,275.25,delivery,,20066.0,,7,,,300,28800,,
10,692707.0,,,3.0,238.75,delivery,,20009.0,,8,,,300,28800,,
11,697596.0,,,3.0,444.25,delivery,,2729.0,,90,,,300,28800,,
12,700400.0,,,3.0,961.0,delivery,,20007.0,,39,,,300,28800,,
13,700913.0,,,3.0,136.8943396226415,delivery,,20005.0,,8,,,300,28800,,
14,701322.0,,,3.0,297.2,delivery,,20009.0,,52,,,300,28800,,
15,702993.0,,,3.0,1477.6666666666667,delivery,,20009.0,,90,,,300,28800,,
16,703000.0,,,3.0,722.1666666666666,delivery,,20066.0,,50,,,300,28800,,
17,703003.0,,,3.0,190.5132075471698,delivery,,20124.0,,14,,,300,28800,,
18,703004.0,,,3.0,143.04150943396226,delivery,,4696.0,,8,,,300,28800,,
19,705033.0,,,3.0,781.75,delivery,,20009.0,,9,,,300,28800,,
20,705033.0,,,3.0,253.75000000000003,delivery,,20009.0,,20,,,300,28800,,
21,705033.0,,,3.0,1474.3333333333333,delivery,,20005.0,,40,,,300,28800,,
22,707089.0,,,4.0,409.4166666666667,delivery,,20005.0,,35,,,300,28800,,
23,708788.0,,,4.0,124.48679245283019,delivery,,20009.0,,20,,,300,28800,,
24,710272.0,,,4.0,144.50188679245284,delivery,,20009.0,,12,,,300,28800,,
25,710275.0,,,4.0,675.0,delivery,,994.0,,90,,,300,28800,,
26,714655.0,,,4.0,1112.1666666666667,delivery,,20115.0,,90,,,300,28800,,
27,722617.0,,,3.0,284.25,delivery,,20005.0,,25,,,300,28800,,
28,722620.0,,,3.0,247.66666666666666,delivery,,1879.0,,13,,,300,28800,,
29,722620.0,,,3.0,1947.0,delivery,,20009.0,,90,,,300,28800,,
30,722621.0,,,3.0,284.3333333333333,delivery,,20115.0,,6,,,300,28800,,
31,722626.0,,,3.0,614.8333333333334,delivery,,735.0,,53,,,300,28800,,
