carrier_id,firm_id,depot_zone,contract_firms,num_veh_type_1,num_veh_type_2,num_veh_type_3,num_veh_type_4,num_veh_type_5,num_veh_type_6,num_veh_type_7,num_veh_type_8,num_veh_type_9,depot_lower,depot_upper,depot_time_before,depot_time_after
2353352,2353352,424,Nan,5,0,,,,,,,,430,1170,0,0
2353360,2353360,1836,Nan,14,0,,,,,,,,740,1290,0,25
2336102,2336102,321,Nan,17,0,,,,,,,,910,1120,15,25
2346550,2346550,102,Nan,12,0,,,,,,,,870,1110,5,10
2352626,2352626,1858,Nan,11,0,,,,,,,,610,1230,5,20
2336109,2336109,106,Nan,16,0,,,,,,,,820,1020,0,15
6685897,6685897,261,Nan,8,0,,,,,,,,660,1230,5,20
2346573,2346573,6014,Nan,10,0,,,,,,,,450,1110,25,25
2353388,2353388,5960,Nan,12,0,,,,,,,,630,1170,10,10
2336211,2336211,6914,Nan,13,0,,,,,,,,880,1330,0,25
2336198,2336198,6866,Nan,11,0,,,,,,,,890,1220,10,5
2346492,2346492,199,Nan,10,0,,,,,,,,360,1020,5,10
2336144,2336144,1713,Nan,12,0,,,,,,,,870,1290,25,10
2353354,2353354,105,Nan,11,0,,,,,,,,700,1020,0,15
2341920,2341920,3,Nan,14,0,,,,,,,,620,1200,5,5
2346512,2346512,519,Nan,12,0,,,,,,,,800,1140,10,10
2341982,2341982,6981,Nan,11,0,,,,,,,,730,1230,15,25
6690905,6690905,5887,Nan,9,0,,,,,,,,740,1140,0,0
6687591,6687591,45,Nan,11,0,,,,,,,,840,1350,20,15
2336105,2336105,382,Nan,7,0,,,,,,,,850,1240,0,5
2346536,2346536,242,Nan,11,0,,,,,,,,880,1420,20,5
2346545,2346545,64,Nan,10,0,,,,,,,,680,1200,0,0
6687592,6687592,302,Nan,15,0,,,,,,,,850,1150,20,0
7353900,7353900,621,Nan,6,0,,,,,,,,840,1290,25,20
6690898,6690898,386,Nan,14,0,,,,,,,,800,1080,20,25
2336131,2336131,489,Nan,18,0,,,,,,,,850,1180,25,5
2346519,2346519,78,Nan,11,0,,,,,,,,890,1160,20,20
7257253,7257253,27,Nan,11,0,,,,,,,,600,1290,25,25
7255950,7255950,446,Nan,15,0,,,,,,,,840,1110,20,15
2336137,2336137,676,Nan,10,0,,,,,,,,280,1050,5,25
2352007,2352007,3653,Nan,11,0,,,,,,,,740,1080,20,0
2341942,2341942,1674,Nan,14,0,,,,,,,,640,1290,0,20
6688178,6688178,1595,Nan,11,0,,,,,,,,830,1080,15,0
7363363,7363363,425,Nan,14,0,,,,,,,,850,1360,5,20
6685893,6685893,452,Nan,16,0,,,,,,,,520,1290,0,0
2346537,2346537,315,Nan,15,0,,,,,,,,870,1290,10,10
2346493,2346493,485,Nan,16,0,,,,,,,,580,1140,15,0
2336149,2336149,1602,Nan,15,0,,,,,,,,530,1020,15,10
2346544,2346544,762,Nan,9,0,,,,,,,,410,1230,5,5
2336115,2336115,44,Nan,7,0,,,,,,,,740,1050,5,25
7255946,7255946,187,Nan,12,0,,,,,,,,360,1020,15,0
2341921,2341921,657,Nan,11,0,,,,,,,,440,1170,20,5
2336118,2336118,1046,Nan,17,0,,,,,,,,900,1350,0,15
2346491,2346491,402,Nan,13,0,,,,,,,,650,1140,10,0
6688177,6688177,387,Nan,16,0,,,,,,,,700,1260,0,20
2336129,2336129,468,Nan,15,0,,,,,,,,930,1230,5,15
2341927,2341927,778,Nan,12,0,,,,,,,,310,1140,5,0
2336133,2336133,3,Nan,19,0,,,,,,,,730,1170,0,5
2336172,2336172,5841,Nan,17,0,,,,,,,,840,1140,25,0
6685909,6685909,6879,Nan,13,0,,,,,,,,590,1080,20,15
6690896,6690896,179,Nan,14,0,,,,,,,,850,1060,10,25
6685887,6685887,208,Nan,6,0,,,,,,,,880,1180,10,20
6688166,6688166,576,Nan,15,0,,,,,,,,510,1050,15,0
6688162,6688162,769,Nan,11,0,,,,,,,,760,1290,5,20
2341937,2341937,228,Nan,16,0,,,,,,,,730,1110,20,25
2346521,2346521,166,Nan,11,0,,,,,,,,860,1190,25,0
6685892,6685892,516,Nan,9,0,,,,,,,,610,1170,0,25
2346647,2346647,9111,Nan,12,0,,,,,,,,870,1320,20,25
2336107,2336107,46,Nan,14,0,,,,,,,,710,1230,20,15
2353348,2353348,95,Nan,11,0,,,,,,,,450,1110,10,5
2341925,2341925,389,Nan,18,0,,,,,,,,770,1020,5,10
2336180,2336180,6975,Nan,13,0,,,,,,,,740,1290,5,0
2336103,2336103,19,Nan,14,0,,,,,,,,860,1160,0,10
2346560,2346560,1925,Nan,9,0,,,,,,,,950,1280,15,20
2346524,2346524,5,Nan,8,0,,,,,,,,430,1140,5,25
2341983,2341983,7038,Nan,11,0,,,,,,,,810,1230,10,5
2346563,2346563,1487,Nan,20,0,,,,,,,,750,1260,25,15
7255955,7255955,5762,Nan,8,0,,,,,,,,510,1080,5,5
6687595,6687595,3673,Nan,13,0,,,,,,,,790,1050,10,15
2336119,2336119,379,Nan,13,0,,,,,,,,410,1110,0,25
2341960,2341960,6207,Nan,10,0,,,,,,,,760,1170,0,0
2353369,2353369,1846,Nan,12,0,,,,,,,,570,1170,20,20
2346520,2346520,559,Nan,11,0,,,,,,,,880,1300,10,10
2346549,2346549,534,Nan,13,0,,,,,,,,260,1020,5,25
2336159,2336159,6092,Nan,9,0,,,,,,,,520,1050,0,0
6688201,6688201,6842,Nan,10,0,,,,,,,,890,1430,25,5
2341989,2341989,6945,Nan,9,0,,,,,,,,450,1110,5,15
2336113,2336113,708,Nan,12,0,,,,,,,,890,1310,15,25
2352010,2352010,5675,Nan,9,0,,,,,,,,870,1260,25,15
2346557,2346557,1777,Nan,20,0,,,,,,,,660,1200,20,10
2341929,2341929,215,Nan,9,0,,,,,,,,850,1060,0,20
2336184,2336184,6933,Nan,19,0,,,,,,,,350,1080,0,25
2346499,2346499,353,Nan,18,0,,,,,,,,960,1380,10,10
2346556,2346556,1886,Nan,12,0,,,,,,,,810,1230,25,15
2346548,2346548,204,Nan,8,0,,,,,,,,570,1080,15,20
2353359,2353359,455,Nan,11,0,,,,,,,,540,1050,20,10
2341936,2341936,336,Nan,14,0,,,,,,,,890,1100,15,5
2346487,2346487,92,Nan,15,0,,,,,,,,770,1200,25,10
6690899,6690899,463,Nan,6,0,,,,,,,,870,1320,20,5
2341952,2341952,5842,Nan,9,0,,,,,,,,900,1170,20,10
2353347,2353347,764,Nan,9,0,,,,,,,,850,1300,10,20
2346523,2346523,742,Nan,10,0,,,,,,,,700,1080,20,15
7255953,7255953,1869,Nan,8,0,,,,,,,,710,1080,20,5
2341992,2341992,6812,Nan,8,0,,,,,,,,640,1260,5,20
2336185,2336185,6992,Nan,14,0,,,,,,,,910,1390,5,15
2352005,2352005,517,Nan,10,0,,,,,,,,910,1180,0,10
2336200,2336200,7270,Nan,17,0,,,,,,,,740,1290,10,20
2336141,2336141,1610,Nan,12,0,,,,,,,,480,1260,5,10
2336104,2336104,604,Nan,15,0,,,,,,,,850,1270,25,5
2346606,2346606,6959,Nan,7,0,,,,,,,,710,1260,20,10
2346528,2346528,781,Nan,11,0,,,,,,,,360,1230,15,5
2346543,2346543,453,Nan,11,0,,,,,,,,600,1140,25,15
6688174,6688174,711,Nan,14,0,,,,,,,,940,1420,5,20
2346574,2346574,6039,Nan,16,0,,,,,,,,900,1200,0,20
2346562,2346562,1875,Nan,10,0,,,,,,,,650,1200,15,15
6687597,6687597,5811,Nan,24,0,,,,,,,,600,1230,10,5
7255956,7255956,6091,Nan,9,0,,,,,,,,740,1110,20,15
2341950,2341950,5888,Nan,8,0,,,,,,,,420,1200,25,5
6688167,6688167,367,Nan,13,0,,,,,,,,520,1200,10,15
2346509,2346509,349,Nan,8,0,,,,,,,,480,1020,20,10
2352002,2352002,303,Nan,11,0,,,,,,,,560,1140,0,20
2353350,2353350,277,Nan,11,0,,,,,,,,720,1110,10,0
2336207,2336207,6955,Nan,13,0,,,,,,,,560,1290,0,5
