payload_id,carrier_id,sequence_id,tour_id,commodity,weight,job,pu_zone,del_zone,pu_stop_duration,del_stop_duration,pu_tw_lower,pu_tw_upper,del_tw_lower,del_tw_upper,pu_arrival_time,del_arrival_time
0,685623.0,,,1.0,126.13962264150943,delivery,,7072.0,,19,,,300,1320,,
1,685623.0,,,1.0,215.4566037735849,delivery,,7550.0,,33,,,300,86400,,
2,685623.0,,,1.0,251.91666666666663,delivery,,20005.0,,17,,,300,86400,,
3,685624.0,,,1.0,510.3333333333334,delivery,,20009.0,,58,,,300,86400,,
4,685624.0,,,1.0,175.07169811320756,delivery,,20009.0,,21,,,300,86400,,
5,685624.0,,,1.0,588.0,delivery,,20011.0,,48,,,300,86400,,
6,685624.0,,,1.0,957.3333333333334,delivery,,20114.0,,70,,,300,86400,,
7,686779.0,,,3.0,132.35094339622643,delivery,,3774.0,,10,,,300,1320,,
8,688995.0,,,3.0,550.9166666666666,delivery,,20009.0,,62,,,300,86400,,
9,691608.0,,,3.0,275.25,delivery,,20066.0,,11,,,300,86400,,
10,692707.0,,,3.0,238.75,delivery,,20009.0,,46,,,300,86400,,
11,697596.0,,,3.0,444.25,delivery,,2729.0,,78,,,300,86400,,
12,700400.0,,,3.0,961.0,delivery,,20007.0,,10,,,300,86400,,
13,700913.0,,,3.0,136.8943396226415,delivery,,20005.0,,10,,,300,86400,,
14,701322.0,,,3.0,297.2,delivery,,20009.0,,51,,,300,86400,,
15,702993.0,,,3.0,1477.6666666666667,delivery,,20009.0,,90,,,300,86400,,
16,703000.0,,,3.0,722.1666666666666,delivery,,20066.0,,53,,,300,86400,,
17,703003.0,,,3.0,190.5132075471698,delivery,,20124.0,,8,,,300,86400,,
18,703004.0,,,3.0,143.04150943396226,delivery,,4696.0,,6,,,300,86400,,
19,705033.0,,,3.0,781.75,delivery,,20009.0,,49,,,300,86400,,
20,705033.0,,,3.0,253.75000000000003,delivery,,20009.0,,7,,,300,86400,,
21,705033.0,,,3.0,1474.3333333333333,delivery,,20005.0,,90,,,300,86400,,
22,707089.0,,,4.0,409.4166666666667,delivery,,20005.0,,21,,,300,86400,,
23,708788.0,,,4.0,124.4867924528302,delivery,,20009.0,,9,,,300,86400,,
24,710272.0,,,4.0,144.50188679245284,delivery,,20009.0,,13,,,300,86400,,
25,710275.0,,,4.0,675.0,delivery,,994.0,,79,,,300,1320,,
26,714655.0,,,4.0,1112.1666666666667,delivery,,20115.0,,90,,,300,86400,,
27,722617.0,,,3.0,284.25,delivery,,20005.0,,16,,,300,86400,,
28,722620.0,,,3.0,247.66666666666663,delivery,,1879.0,,11,,,300,1320,,
29,722620.0,,,3.0,1947.0,delivery,,20009.0,,90,,,300,86400,,
30,722621.0,,,3.0,284.3333333333333,delivery,,20115.0,,12,,,300,86400,,
31,722626.0,,,3.0,614.8333333333334,delivery,,735.0,,90,,,300,1320,,
32,725620.0,,,3.0,591.3333333333334,delivery,,20092.0,,18,,,300,86400,,
33,727548.0,,,5.0,1414.8333333333333,delivery,,20009.0,,77,,,300,86400,,
34,729886.0,,,3.0,190.03018867924527,delivery,,20009.0,,15,,,300,86400,,
35,730012.0,,,3.0,386.4166666666667,delivery,,20006.0,,21,,,300,86400,,
36,732004.0,,,4.0,103.64528301886791,delivery,,7478.0,,9,,,300,86400,,
37,732005.0,,,4.0,254.33333333333331,delivery,,8501.0,,33,,,300,1320,,
38,732005.0,,,4.0,1378.4166666666667,delivery,,20066.0,,90,,,300,86400,,
39,732005.0,,,4.0,561.5,delivery,,20006.0,,65,,,300,86400,,
40,732011.0,,,4.0,249.16666666666663,delivery,,20009.0,,38,,,300,86400,,
41,732011.0,,,4.0,2147.9166666666665,delivery,,20122.0,,90,,,300,86400,,
42,732011.0,,,4.0,302.3333333333333,delivery,,20011.0,,29,,,300,86400,,
43,732012.0,,,4.0,292.75,delivery,,20009.0,,30,,,300,86400,,
44,732013.0,,,4.0,643.3333333333334,delivery,,20009.0,,28,,,300,86400,,
45,732013.0,,,4.0,508.5,delivery,,20124.0,,15,,,300,86400,,
46,732014.0,,,4.0,1457.1666666666667,delivery,,20009.0,,90,,,300,86400,,
47,732015.0,,,4.0,354.5,delivery,,20123.0,,11,,,300,86400,,
48,732018.0,,,4.0,313.5,delivery,,20009.0,,8,,,300,86400,,
49,732018.0,,,4.0,268.25,delivery,,20072.0,,9,,,300,86400,,
50,732019.0,,,4.0,127.09056603773584,delivery,,6241.0,,7,,,300,1320,,
51,732019.0,,,4.0,339.5,delivery,,9694.0,,40,,,300,1320,,
52,732019.0,,,4.0,246.75,delivery,,20011.0,,27,,,300,86400,,
53,732020.0,,,4.0,323.5833333333333,delivery,,6200.0,,16,,,300,1320,,
54,732020.0,,,4.0,830.5000000000001,delivery,,20009.0,,53,,,300,86400,,
55,732020.0,,,4.0,298.0833333333333,delivery,,20030.0,,44,,,300,86400,,
56,732021.0,,,4.0,474.41666666666674,delivery,,20007.0,,40,,,300,86400,,
57,732023.0,,,4.0,831.0,delivery,,6164.0,,79,,,300,1320,,
58,732025.0,,,4.0,276.8333333333333,delivery,,20114.0,,15,,,300,86400,,
59,732025.0,,,4.0,150.74716981132076,delivery,,20096.0,,18,,,300,86400,,
60,732028.0,,,4.0,182.75,delivery,,20009.0,,13,,,300,86400,,
61,732029.0,,,4.0,298.25,delivery,,20009.0,,10,,,300,86400,,
62,732031.0,,,4.0,132.16981132075472,delivery,,20067.0,,7,,,300,86400,,
63,732036.0,,,4.0,111.2188679245283,delivery,,1187.0,,20,,,300,86400,,
64,732040.0,,,4.0,327.25,delivery,,1421.0,,68,,,300,1320,,
65,732040.0,,,4.0,304.9166666666667,delivery,,7684.0,,13,,,300,1320,,
66,732040.0,,,4.0,520.0,delivery,,20009.0,,90,,,300,86400,,
67,732041.0,,,4.0,379.1666666666667,delivery,,20009.0,,76,,,300,86400,,
68,732041.0,,,4.0,349.75,delivery,,20005.0,,19,,,300,86400,,
69,732043.0,,,4.0,2157.583333333333,delivery,,20009.0,,90,,,300,86400,,
70,732046.0,,,4.0,468.75,delivery,,20029.0,,32,,,300,86400,,
71,739355.0,,,4.0,174.25,delivery,,8015.0,,5,,,300,1320,,
72,739590.0,,,4.0,343.1811320754717,delivery,,6191.0,,90,,,300,1320,,
73,739590.0,,,4.0,261.75,delivery,,20091.0,,42,,,300,86400,,
74,739591.0,,,4.0,343.5833333333333,delivery,,20009.0,,37,,,300,86400,,
75,739594.0,,,4.0,395.0,delivery,,20010.0,,21,,,300,86400,,
76,739595.0,,,4.0,100.29433962264152,delivery,,20009.0,,12,,,300,86400,,
77,739595.0,,,4.0,317.75,delivery,,20126.0,,34,,,300,86400,,
78,740579.0,,,4.0,1661.0,delivery,,8340.0,,90,,,300,1320,,
79,740579.0,,,4.0,586.1924528301887,delivery,,6243.0,,42,,,300,1320,,
80,740579.0,,,4.0,295.0,delivery,,20109.0,,51,,,300,86400,,
81,740581.0,,,4.0,1027.75,delivery,,812.0,,90,,,300,1320,,
82,740581.0,,,4.0,393.3333333333333,delivery,,852.0,,62,,,300,1320,,
83,740582.0,,,4.0,216.75,delivery,,20122.0,,31,,,300,86400,,
84,740584.0,,,4.0,295.25,delivery,,20115.0,,26,,,300,86400,,
85,740587.0,,,4.0,105.05283018867924,delivery,,20115.0,,10,,,300,86400,,
