payload_id,carrier_id,sequence_id,tour_id,commodity,weight,job,pu_zone,del_zone,pu_stop_duration,del_stop_duration,pu_tw_lower,pu_tw_upper,del_tw_lower,del_tw_upper,pu_arrival_time,del_arrival_time,veh_type
0,2353352,,,5,123,delivery,,1,,58,,,360,1200,,,md
1,2353360,,,5,295,delivery,,1,,69,,,360,1200,,,md
2,2336102,,,5,113,delivery,,1,,60,,,360,1200,,,md
3,2346550,,,5,221,delivery,,1,,58,,,360,1200,,,md
4,2352626,,,5,263,delivery,,1,,64,,,360,1200,,,md
5,2336109,,,5,87,delivery,,1,,54,,,360,1200,,,md
6,6685897,,,5,43,delivery,,1,,47,,,360,1200,,,md
7,2346573,,,5,110,delivery,,1,,37,,,360,1200,,,md
8,2353388,,,5,112,delivery,,1,,47,,,360,1200,,,md
9,2336211,,,5,296,delivery,,1,,73,,,360,1200,,,md
10,2336198,,,5,198,delivery,,1,,65,,,360,1200,,,md
11,2346492,,,5,82,delivery,,1,,50,,,360,1200,,,md
12,2336144,,,5,185,delivery,,1,,60,,,360,1200,,,md
13,2353354,,,5,136,delivery,,1,,64,,,360,1200,,,md
14,2341920,,,5,108,delivery,,1,,56,,,360,1200,,,md
15,2346512,,,5,159,delivery,,1,,54,,,360,1200,,,md
16,2341920,,,5,95,delivery,,2,,14,,,360,1200,,,md
17,2341982,,,5,68,delivery,,2,,14,,,360,1200,,,md
18,6690905,,,5,218,delivery,,2,,19,,,360,1200,,,md
19,6687591,,,5,251,delivery,,2,,19,,,360,1200,,,md
20,2336105,,,5,185,delivery,,2,,17,,,360,1200,,,md
21,2346536,,,5,176,delivery,,2,,18,,,360,1200,,,md
22,2346545,,,5,230,delivery,,2,,19,,,360,1200,,,md
23,6687592,,,5,154,delivery,,3,,20,,,360,1200,,,md
24,7353900,,,5,166,delivery,,3,,18,,,360,1200,,,md
25,6690898,,,5,196,delivery,,3,,18,,,360,1200,,,md
26,2336131,,,5,63,delivery,,3,,15,,,360,1200,,,md
27,2346519,,,5,179,delivery,,3,,19,,,360,1200,,,md
28,7257253,,,5,150,delivery,,3,,18,,,360,1200,,,md
29,7255950,,,5,84,delivery,,3,,16,,,360,1200,,,md
30,2336137,,,5,134,delivery,,4,,14,,,360,1200,,,md
31,2352007,,,5,109,delivery,,4,,13,,,360,1200,,,md
32,2341942,,,5,64,delivery,,4,,14,,,360,1200,,,md
33,6688178,,,5,159,delivery,,4,,16,,,360,1200,,,md
34,7363363,,,5,135,delivery,,4,,16,,,360,1200,,,md
35,6685893,,,5,115,delivery,,4,,16,,,360,1200,,,md
36,2346537,,,5,197,delivery,,4,,20,,,360,1200,,,md
37,2346545,,,5,274,delivery,,4,,16,,,360,1200,,,md
38,2346493,,,5,161,delivery,,5,,18,,,360,1200,,,md
39,2336149,,,5,123,delivery,,5,,18,,,360,1200,,,md
40,2346544,,,5,86,delivery,,5,,17,,,360,1200,,,md
41,2336115,,,5,121,delivery,,5,,18,,,360,1200,,,md
42,7255946,,,5,149,delivery,,5,,17,,,360,1200,,,md
43,2341921,,,5,121,delivery,,5,,18,,,360,1200,,,md
44,2336118,,,5,122,delivery,,5,,14,,,360,1200,,,md
45,2346491,,,5,26,delivery,,6,,11,,,360,1200,,,md
46,2341920,,,5,150,delivery,,6,,17,,,360,1200,,,md
47,6688177,,,5,183,delivery,,6,,15,,,360,1200,,,md
48,2336129,,,5,253,delivery,,6,,19,,,360,1200,,,md
49,2341927,,,5,185,delivery,,6,,15,,,360,1200,,,md
50,2336133,,,5,127,delivery,,6,,15,,,360,1200,,,md
51,2336172,,,5,134,delivery,,6,,15,,,360,1200,,,md
52,6685909,,,5,179,delivery,,6,,19,,,360,1200,,,md
53,6690896,,,5,148,delivery,,7,,13,,,360,1200,,,md
54,6685887,,,5,84,delivery,,7,,13,,,360,1200,,,md
55,6688166,,,5,209,delivery,,7,,18,,,360,1200,,,md
56,6688162,,,5,153,delivery,,7,,15,,,360,1200,,,md
57,2341921,,,5,165,delivery,,7,,10,,,360,1200,,,md
58,2346519,,,5,166,delivery,,7,,18,,,360,1200,,,md
59,2341937,,,5,143,delivery,,7,,14,,,360,1200,,,md
60,2346521,,,5,77,delivery,,7,,13,,,360,1200,,,md
61,6685892,,,5,86,delivery,,7,,11,,,360,1200,,,md
62,6685892,,,5,250,delivery,,7,,16,,,360,1200,,,md
63,2346647,,,5,240,delivery,,8,,14,,,360,1200,,,md
64,2346545,,,5,121,delivery,,8,,17,,,360,1200,,,md
65,2336107,,,5,216,delivery,,8,,12,,,360,1200,,,md
66,2353360,,,5,109,delivery,,8,,13,,,360,1200,,,md
67,2353348,,,5,123,delivery,,8,,14,,,360,1200,,,md
68,2341925,,,5,122,delivery,,8,,14,,,360,1200,,,md
69,2336180,,,5,233,delivery,,8,,16,,,360,1200,,,md
70,6685893,,,5,276,delivery,,8,,18,,,360,1200,,,md
71,2336103,,,5,121,delivery,,8,,16,,,360,1200,,,md
72,2346560,,,5,81,delivery,,9,,13,,,360,1200,,,md
73,2346524,,,5,168,delivery,,9,,16,,,360,1200,,,md
74,2341983,,,5,130,delivery,,9,,14,,,360,1200,,,md
75,2346563,,,5,363,delivery,,9,,19,,,360,1200,,,md
76,2353348,,,5,241,delivery,,9,,17,,,360,1200,,,md
77,6685887,,,5,116,delivery,,9,,17,,,360,1200,,,md
78,7255955,,,5,108,delivery,,9,,15,,,360,1200,,,md
79,6687595,,,5,71,delivery,,10,,10,,,360,1200,,,md
80,2336119,,,5,198,delivery,,10,,18,,,360,1200,,,md
81,2341960,,,5,69,delivery,,10,,13,,,360,1200,,,md
82,7257253,,,5,116,delivery,,10,,18,,,360,1200,,,md
83,2346524,,,5,259,delivery,,10,,18,,,360,1200,,,md
84,2353369,,,5,225,delivery,,10,,17,,,360,1200,,,md
85,2346520,,,5,210,delivery,,11,,19,,,360,1200,,,md
86,2346549,,,5,161,delivery,,11,,14,,,360,1200,,,md
87,2336159,,,5,70,delivery,,11,,14,,,360,1200,,,md
88,6685892,,,5,124,delivery,,11,,13,,,360,1200,,,md
89,6688201,,,5,113,delivery,,11,,16,,,360,1200,,,md
90,2341989,,,5,239,delivery,,11,,18,,,360,1200,,,md
91,2336113,,,5,89,delivery,,11,,13,,,360,1200,,,md
92,2352010,,,5,161,delivery,,11,,15,,,360,1200,,,md
93,2346557,,,5,177,delivery,,11,,16,,,360,1200,,,md
94,2341929,,,5,186,delivery,,11,,15,,,360,1200,,,md
95,2336184,,,5,92,delivery,,11,,14,,,360,1200,,,md
96,2346499,,,5,132,delivery,,11,,15,,,360,1200,,,md
97,2346556,,,5,149,delivery,,12,,11,,,360,1200,,,md
98,2336133,,,5,133,delivery,,12,,11,,,360,1200,,,md
99,2346548,,,5,130,delivery,,12,,11,,,360,1200,,,md
100,2353359,,,5,241,delivery,,12,,12,,,360,1200,,,md
101,2341936,,,5,154,delivery,,12,,12,,,360,1200,,,md
102,2346491,,,5,109,delivery,,12,,9,,,360,1200,,,md
103,2346487,,,5,91,delivery,,12,,9,,,360,1200,,,md
104,6690899,,,5,110,delivery,,12,,10,,,360,1200,,,md
105,2336137,,,5,71,delivery,,13,,10,,,360,1200,,,md
106,2336131,,,5,226,delivery,,13,,12,,,360,1200,,,md
107,2346545,,,5,98,delivery,,13,,13,,,360,1200,,,md
108,2336131,,,5,108,delivery,,13,,11,,,360,1200,,,md
109,2341952,,,5,180,delivery,,14,,14,,,360,1200,,,md
110,2336107,,,5,155,delivery,,14,,13,,,360,1200,,,md
111,2353347,,,5,54,delivery,,14,,12,,,360,1200,,,md
112,2346523,,,5,190,delivery,,14,,13,,,360,1200,,,md
113,7255953,,,5,204,delivery,,14,,12,,,360,1200,,,md
114,6685897,,,5,209,delivery,,14,,14,,,360,1200,,,md
115,2341936,,,5,106,delivery,,14,,12,,,360,1200,,,md
116,7257253,,,5,188,delivery,,15,,15,,,360,1200,,,md
117,2341992,,,5,260,delivery,,15,,17,,,360,1200,,,md
118,2336185,,,5,33,delivery,,15,,12,,,360,1200,,,md
119,7255950,,,5,155,delivery,,15,,14,,,360,1200,,,md
120,2346499,,,5,238,delivery,,16,,20,,,360,1200,,,md
121,2346493,,,5,281,delivery,,16,,19,,,360,1200,,,md
122,2346647,,,5,130,delivery,,16,,14,,,360,1200,,,md
123,2352005,,,5,304,delivery,,16,,19,,,360,1200,,,md
124,2336200,,,5,121,delivery,,16,,19,,,360,1200,,,md
125,2336141,,,5,142,delivery,,17,,21,,,360,1200,,,md
126,2346560,,,5,194,delivery,,17,,22,,,360,1200,,,md
127,2336104,,,5,112,delivery,,17,,18,,,360,1200,,,md
128,2346524,,,5,161,delivery,,17,,20,,,360,1200,,,md
129,2346493,,,5,209,delivery,,17,,19,,,360,1200,,,md
130,2346606,,,5,282,delivery,,18,,17,,,360,1200,,,md
131,2346528,,,5,189,delivery,,18,,15,,,360,1200,,,md
132,2346543,,,5,142,delivery,,18,,11,,,360,1200,,,md
133,2336118,,,5,79,delivery,,18,,14,,,360,1200,,,md
134,6688174,,,5,182,delivery,,18,,16,,,360,1200,,,md
135,2336129,,,5,115,delivery,,19,,17,,,360,1200,,,md
136,2346574,,,5,89,delivery,,19,,17,,,360,1200,,,md
137,6690898,,,5,89,delivery,,19,,14,,,360,1200,,,md
138,2346562,,,5,87,delivery,,19,,19,,,360,1200,,,md
139,6687597,,,5,194,delivery,,19,,20,,,360,1200,,,md
140,7255956,,,5,83,delivery,,20,,15,,,360,1200,,,md
141,2341950,,,5,134,delivery,,20,,15,,,360,1200,,,md
142,6688167,,,5,361,delivery,,20,,20,,,360,1200,,,md
143,6688167,,,5,134,delivery,,20,,18,,,360,1200,,,md
144,2346509,,,5,112,delivery,,20,,19,,,360,1200,,,md
145,7257253,,,5,54,delivery,,20,,15,,,360,1200,,,md
146,2346537,,,5,247,delivery,,21,,23,,,360,1200,,,md
147,2346573,,,5,126,delivery,,21,,14,,,360,1200,,,md
148,2353347,,,5,143,delivery,,21,,13,,,360,1200,,,md
149,2352002,,,5,179,delivery,,21,,18,,,360,1200,,,md
150,2353350,,,5,61,delivery,,21,,14,,,360,1200,,,md
151,2346556,,,5,95,delivery,,22,,15,,,360,1200,,,md
152,2336207,,,5,180,delivery,,22,,17,,,360,1200,,,md
153,2336204,,,5,158,delivery,,22,,17,,,360,1200,,,md
154,2336129,,,5,139,delivery,,22,,17,,,360,1200,,,md
155,2346545,,,5,96,delivery,,22,,14,,,360,1200,,,md
156,2336115,,,5,170,delivery,,22,,19,,,360,1200,,,md
157,2346489,,,5,152,delivery,,23,,17,,,360,1200,,,md
158,2353387,,,5,108,delivery,,23,,14,,,360,1200,,,md
159,2346500,,,5,177,delivery,,23,,19,,,360,1200,,,md
160,2346515,,,5,175,delivery,,23,,21,,,360,1200,,,md
161,6688176,,,5,187,delivery,,23,,17,,,360,1200,,,md
162,6690898,,,5,125,delivery,,24,,15,,,360,1200,,,md
163,2336204,,,5,64,delivery,,24,,12,,,360,1200,,,md
164,6688177,,,5,190,delivery,,24,,16,,,360,1200,,,md
165,6690414,,,5,187,delivery,,24,,12,,,360,1200,,,md
166,2342025,,,5,160,delivery,,24,,17,,,360,1200,,,md
167,2336102,,,5,123,delivery,,24,,17,,,360,1200,,,md
168,6685887,,,5,106,delivery,,25,,20,,,360,1200,,,md
169,2341949,,,5,254,delivery,,25,,23,,,360,1200,,,md
170,2341983,,,5,123,delivery,,25,,19,,,360,1200,,,md
171,2336131,,,5,117,delivery,,25,,14,,,360,1200,,,md
172,2341946,,,5,153,delivery,,26,,12,,,360,1200,,,md
173,2336117,,,5,127,delivery,,26,,14,,,360,1200,,,md
174,6688178,,,5,240,delivery,,26,,14,,,360,1200,,,md
175,2346527,,,5,149,delivery,,26,,14,,,360,1200,,,md
176,2336146,,,5,92,delivery,,26,,14,,,360,1200,,,md
177,2341940,,,5,196,delivery,,27,,23,,,360,1200,,,md
178,7255953,,,5,84,delivery,,27,,15,,,360,1200,,,md
179,6688178,,,5,213,delivery,,27,,20,,,360,1200,,,md
180,2353345,,,5,119,delivery,,27,,19,,,360,1200,,,md
181,2336212,,,5,74,delivery,,27,,16,,,360,1200,,,md
182,2346502,,,5,285,delivery,,28,,19,,,360,1200,,,md
183,2352005,,,5,86,delivery,,28,,18,,,360,1200,,,md
184,2353389,,,5,171,delivery,,28,,19,,,360,1200,,,md
185,2346492,,,5,197,delivery,,29,,22,,,360,1200,,,md
186,6688175,,,5,138,delivery,,29,,18,,,360,1200,,,md
187,2341925,,,5,123,delivery,,29,,17,,,360,1200,,,md
188,6688161,,,5,120,delivery,,29,,19,,,360,1200,,,md
189,2336215,,,5,212,delivery,,30,,24,,,360,1200,,,md
190,2353346,,,5,109,delivery,,30,,22,,,360,1200,,,md
191,2336125,,,5,83,delivery,,30,,20,,,360,1200,,,md
192,2341939,,,5,124,delivery,,31,,16,,,360,1200,,,md
193,2336125,,,5,130,delivery,,31,,13,,,360,1200,,,md
194,6688176,,,5,87,delivery,,31,,13,,,360,1200,,,md
195,7255950,,,5,177,delivery,,31,,20,,,360,1200,,,md
196,2346487,,,5,161,delivery,,32,,15,,,360,1200,,,md
197,2336107,,,5,155,delivery,,32,,13,,,360,1200,,,md
198,2346489,,,5,105,delivery,,32,,11,,,360,1200,,,md
199,2336107,,,5,192,delivery,,32,,12,,,360,1200,,,md
200,2336107,,,5,150,delivery,,32,,13,,,360,1200,,,md
201,2336110,,,5,186,delivery,,32,,11,,,360,1200,,,md
202,2336145,,,5,71,delivery,,32,,12,,,360,1200,,,md
203,6687592,,,5,164,delivery,,32,,13,,,360,1200,,,md
204,2346537,,,5,68,delivery,,33,,14,,,360,1200,,,md
205,2336103,,,5,149,delivery,,33,,17,,,360,1200,,,md
206,2346545,,,5,212,delivery,,33,,17,,,360,1200,,,md
207,6688177,,,5,68,delivery,,33,,15,,,360,1200,,,md
208,6690897,,,5,281,delivery,,33,,19,,,360,1200,,,md
209,6690898,,,5,111,delivery,,34,,17,,,360,1200,,,md
210,2346521,,,5,137,delivery,,34,,21,,,360,1200,,,md
211,2336180,,,5,168,delivery,,34,,20,,,360,1200,,,md
212,2336118,,,5,105,delivery,,34,,19,,,360,1200,,,md
213,2346641,,,5,105,delivery,,34,,19,,,360,1200,,,md
214,2336147,,,5,168,delivery,,34,,22,,,360,1200,,,md
215,2336203,,,5,76,delivery,,35,,16,,,360,1200,,,md
216,2346517,,,5,91,delivery,,35,,18,,,360,1200,,,md
217,2352010,,,5,159,delivery,,35,,18,,,360,1200,,,md
218,2346521,,,5,222,delivery,,35,,18,,,360,1200,,,md
219,7255959,,,5,238,delivery,,35,,21,,,360,1200,,,md
220,2346519,,,5,133,delivery,,35,,16,,,360,1200,,,md
221,2341926,,,5,224,delivery,,35,,21,,,360,1200,,,md
222,2336166,,,5,50,delivery,,36,,12,,,360,1200,,,md
223,2346505,,,5,136,delivery,,36,,17,,,360,1200,,,md
224,6688167,,,5,171,delivery,,36,,18,,,360,1200,,,md
225,2336171,,,5,90,delivery,,36,,17,,,360,1200,,,md
226,2353362,,,5,217,delivery,,37,,21,,,360,1200,,,md
227,6685893,,,5,254,delivery,,37,,19,,,360,1200,,,md
228,6687600,,,5,81,delivery,,37,,15,,,360,1200,,,md
229,6688183,,,5,69,delivery,,37,,16,,,360,1200,,,md
230,2353359,,,5,129,delivery,,38,,24,,,360,1200,,,md
231,2346571,,,5,257,delivery,,38,,34,,,360,1200,,,md
232,2346540,,,5,150,delivery,,38,,27,,,360,1200,,,md
233,6685892,,,5,142,delivery,,38,,25,,,360,1200,,,md
234,2336261,,,5,172,delivery,,39,,19,,,360,1200,,,md
235,6687591,,,5,163,delivery,,39,,16,,,360,1200,,,md
236,2336208,,,5,165,delivery,,39,,17,,,360,1200,,,md
237,2352013,,,5,191,delivery,,39,,15,,,360,1200,,,md
238,2336129,,,5,168,delivery,,39,,13,,,360,1200,,,md
239,2336123,,,5,195,delivery,,39,,17,,,360,1200,,,md
240,2341926,,,5,21,delivery,,40,,16,,,360,1200,,,md
241,2346569,,,5,132,delivery,,40,,22,,,360,1200,,,md
242,2346545,,,5,247,delivery,,40,,21,,,360,1200,,,md
