carrier_id,firm_id,depot_zone,contract_firms,num_veh_type_1,num_veh_type_2,num_veh_type_3,num_veh_type_4,num_veh_type_5,num_veh_type_6,num_veh_type_7,num_veh_type_8,num_veh_type_9,depot_lower,depot_upper,depot_time_before,depot_time_after
2346511,2346511,134,Nan,11,0,,,,,,,,810,1080,0,10
2346540,2346540,168,Nan,15,0,,,,,,,,790,1230,25,15
2353358,2353358,155,Nan,13,0,,,,,,,,460,1290,20,5
2346491,2346491,402,Nan,13,0,,,,,,,,640,1110,10,25
6685886,6685886,60,Nan,16,0,,,,,,,,550,1020,15,20
6690416,6690416,264,Nan,19,0,,,,,,,,500,1200,0,5
2341920,2341920,3,Nan,14,0,,,,,,,,890,1190,15,15
6688167,6688167,367,Nan,13,0,,,,,,,,670,1140,10,0
6688166,6688166,576,Nan,15,0,,,,,,,,890,1340,10,5
2353350,2353350,277,Nan,11,0,,,,,,,,700,1110,25,5
2336129,2336129,468,Nan,15,0,,,,,,,,540,1290,10,0
2336127,2336127,337,Nan,9,0,,,,,,,,450,1050,20,10
2341933,2341933,734,Nan,6,0,,,,,,,,880,1090,20,20
2346507,2346507,575,Nan,11,0,,,,,,,,560,1230,10,15
2353353,2353353,322,Nan,18,0,,,,,,,,650,1200,25,0
2341921,2341921,657,Nan,11,0,,,,,,,,690,1200,20,25
2336103,2336103,19,Nan,14,0,,,,,,,,850,1420,15,20
2336107,2336107,46,Nan,14,0,,,,,,,,810,1200,15,10
2341932,2341932,175,Nan,14,0,,,,,,,,730,1170,15,10
2346545,2346545,64,Nan,10,0,,,,,,,,630,1080,10,15
6685885,6685885,44,Nan,11,0,,,,,,,,780,1110,0,5
2346550,2346550,102,Nan,12,0,,,,,,,,650,1140,25,5
2336139,2336139,719,Nan,9,0,,,,,,,,570,1110,25,20
2336134,2336134,242,Nan,9,0,,,,,,,,800,1140,25,10
2336115,2336115,44,Nan,7,0,,,,,,,,470,1200,25,20
2341923,2341923,158,Nan,13,0,,,,,,,,790,1170,15,5
2346521,2346521,166,Nan,11,0,,,,,,,,580,1050,20,20
2346502,2346502,271,Nan,6,0,,,,,,,,870,1050,25,0
7334370,7334370,57,Nan,14,0,,,,,,,,810,1080,10,15
6685893,6685893,452,Nan,16,0,,,,,,,,710,1290,10,20
6685897,6685897,261,Nan,8,0,,,,,,,,570,1050,5,15
2341918,2341918,121,Nan,8,0,,,,,,,,450,1140,20,15
2346509,2346509,349,Nan,8,0,,,,,,,,680,1200,0,15
2341930,2341930,634,Nan,4,0,,,,,,,,440,1110,0,0
2336117,2336117,65,Nan,10,0,,,,,,,,630,1140,25,10
6690900,6690900,550,Nan,9,0,,,,,,,,820,1200,25,25
2346519,2346519,78,Nan,11,0,,,,,,,,430,1200,5,0
2353352,2353352,424,Nan,5,0,,,,,,,,830,1140,0,10
2346517,2346517,354,Nan,11,0,,,,,,,,590,1050,15,5
2346500,2346500,196,Nan,10,0,,,,,,,,890,1190,0,20
7255950,7255950,446,Nan,15,0,,,,,,,,460,1050,15,0
2341926,2341926,141,Nan,11,0,,,,,,,,720,1110,15,15
2352006,2352006,754,Nan,10,0,,,,,,,,450,1140,15,5
2341934,2341934,227,Nan,12,0,,,,,,,,660,1170,5,5
2336132,2336132,563,Nan,8,0,,,,,,,,770,1050,20,5
6685898,6685898,616,Nan,11,0,,,,,,,,540,1140,20,5
2336119,2336119,379,Nan,13,0,,,,,,,,420,1080,15,0
7255951,7255951,134,Nan,9,0,,,,,,,,870,1110,25,25
2353354,2353354,105,Nan,11,0,,,,,,,,480,1110,20,10
6688170,6688170,221,Nan,13,0,,,,,,,,440,1080,25,5
6690899,6690899,463,Nan,6,0,,,,,,,,440,1140,25,20
6685894,6685894,377,Nan,14,0,,,,,,,,700,1020,25,10
2341929,2341929,215,Nan,9,0,,,,,,,,440,1050,0,10
7363363,7363363,425,Nan,14,0,,,,,,,,880,1240,20,20
2352625,2352625,380,Nan,13,0,,,,,,,,580,1050,25,10
2336113,2336113,708,Nan,12,0,,,,,,,,680,1050,25,20
2336137,2336137,676,Nan,10,0,,,,,,,,480,1170,15,20
7257253,7257253,27,Nan,11,0,,,,,,,,660,1080,0,20
2353348,2353348,95,Nan,11,0,,,,,,,,570,1170,15,0
6687591,6687591,45,Nan,11,0,,,,,,,,510,1230,5,20
2346513,2346513,277,Nan,10,0,,,,,,,,680,1110,5,5
2346544,2346544,762,Nan,9,0,,,,,,,,770,1260,5,5
2346543,2346543,453,Nan,11,0,,,,,,,,720,1260,20,20
2336123,2336123,361,Nan,20,0,,,,,,,,550,1020,15,0
2336133,2336133,3,Nan,19,0,,,,,,,,710,1260,20,10
2352005,2352005,517,Nan,10,0,,,,,,,,500,1050,5,10
2346527,2346527,21,Nan,17,0,,,,,,,,730,1170,15,10
2346553,2346553,278,Nan,16,0,,,,,,,,540,1110,10,25
7256686,7256686,597,Nan,5,0,,,,,,,,760,1260,25,10
2336118,2336118,1046,Nan,17,0,,,,,,,,830,1230,15,20
2346487,2346487,92,Nan,15,0,,,,,,,,660,1110,5,25
2336109,2336109,106,Nan,16,0,,,,,,,,680,1020,25,0
2346518,2346518,636,Nan,14,0,,,,,,,,670,1290,15,15
6688172,6688172,730,Nan,15,0,,,,,,,,790,1230,0,15
6685889,6685889,601,Nan,9,0,,,,,,,,740,1050,15,0
