carrier_id,firm_id,depot_zone,contract_firms,num_veh_type_1,num_veh_type_2,num_veh_type_3,num_veh_type_4,num_veh_type_5,num_veh_type_6,num_veh_type_7,num_veh_type_8,num_veh_type_9,depot_lower,depot_upper,depot_time_before,depot_time_after
2353395,2353395,7066,Nan,6,0,,,,,,,,960,1320,0,15
2346566,2346566,4355,Nan,5,0,,,,,,,,960,1320,0,5
2341986,2341986,7215,Nan,2,0,,,,,,,,960,1320,0,5
2346535,2346535,650,Nan,2,0,,,,,,,,960,1320,15,0
2346572,2346572,6142,Nan,4,0,,,,,,,,960,1320,10,20
2336109,2336109,106,Nan,5,0,,,,,,,,960,1320,5,20
2341920,2341920,3,Nan,2,0,,,,,,,,960,1320,5,20
2341923,2341923,158,Nan,6,0,,,,,,,,960,1320,0,0
2353352,2353352,424,Nan,2,0,,,,,,,,960,1320,0,20
7255952,7255952,1579,Nan,2,0,,,,,,,,960,1320,15,25
2346513,2346513,277,Nan,3,0,,,,,,,,960,1320,0,15
2346521,2346521,166,Nan,3,0,,,,,,,,960,1320,0,25
6687592,6687592,302,Nan,4,0,,,,,,,,960,1320,25,15
2341925,2341925,389,Nan,5,0,,,,,,,,960,1320,25,20
2336117,2336117,65,Nan,4,0,,,,,,,,960,1320,20,25
2346511,2346511,134,Nan,4,0,,,,,,,,960,1320,25,10
2336149,2336149,1602,Nan,2,0,,,,,,,,960,1320,25,0
2346647,2346647,9111,Nan,3,0,,,,,,,,960,1320,5,10
2353354,2353354,105,Nan,5,0,,,,,,,,960,1320,5,15
2336217,2336217,7247,Nan,4,0,,,,,,,,960,1320,10,25
2341942,2341942,1674,Nan,3,0,,,,,,,,960,1320,5,10
2353382,2353382,4372,Nan,4,0,,,,,,,,960,1320,10,0
2346562,2346562,1875,Nan,3,0,,,,,,,,960,1320,15,20
2346491,2346491,402,Nan,3,0,,,,,,,,960,1320,10,5
2353345,2353345,513,Nan,1,0,,,,,,,,960,1320,10,10
2336163,2336163,5799,Nan,6,0,,,,,,,,960,1320,5,15
2352625,2352625,380,Nan,5,0,,,,,,,,960,1320,0,0
2353359,2353359,455,Nan,3,0,,,,,,,,960,1320,5,10
6690902,6690902,1521,Nan,3,0,,,,,,,,960,1320,25,20
2346524,2346524,5,Nan,4,0,,,,,,,,960,1320,0,25
2346510,2346510,571,Nan,6,0,,,,,,,,960,1320,15,0
2346558,2346558,1920,Nan,6,0,,,,,,,,960,1320,15,5
2336189,2336189,7248,Nan,7,0,,,,,,,,960,1320,20,25
6685902,6685902,5816,Nan,2,0,,,,,,,,960,1320,10,20
2341990,2341990,7102,Nan,1,0,,,,,,,,960,1320,25,20
2341953,2341953,6195,Nan,3,0,,,,,,,,960,1320,25,10
2346545,2346545,64,Nan,2,0,,,,,,,,960,1320,0,25
2336103,2336103,19,Nan,4,0,,,,,,,,960,1320,10,15
2346492,2346492,199,Nan,4,0,,,,,,,,960,1320,20,0
2346517,2346517,354,Nan,3,0,,,,,,,,960,1320,20,0
2346655,2346655,9387,Nan,3,0,,,,,,,,960,1320,20,10
6688161,6688161,617,Nan,5,0,,,,,,,,960,1320,15,20
6685886,6685886,60,Nan,4,0,,,,,,,,960,1320,25,0
2336188,2336188,7244,Nan,2,0,,,,,,,,960,1320,10,10
2336205,2336205,7215,Nan,7,0,,,,,,,,960,1320,20,5
7256696,7256696,8080,Nan,4,0,,,,,,,,960,1320,25,15
2341943,2341943,1576,Nan,6,0,,,,,,,,960,1320,15,15
2341929,2341929,215,Nan,4,0,,,,,,,,960,1320,15,25
2352010,2352010,5675,Nan,4,0,,,,,,,,960,1320,20,5
6688202,6688202,7018,Nan,6,0,,,,,,,,960,1320,0,5
2346625,2346625,8016,Nan,5,0,,,,,,,,960,1320,25,10
6690897,6690897,291,Nan,4,0,,,,,,,,960,1320,15,20
6685921,6685921,9369,Nan,3,0,,,,,,,,960,1320,5,0
2336184,2336184,6933,Nan,8,0,,,,,,,,960,1320,0,5
7256686,7256686,597,Nan,1,0,,,,,,,,960,1320,5,25
2346574,2346574,6039,Nan,1,0,,,,,,,,960,1320,25,5
2341918,2341918,121,Nan,3,0,,,,,,,,960,1320,5,15
6688166,6688166,576,Nan,4,0,,,,,,,,960,1320,25,10
2346628,2346628,8469,Nan,2,0,,,,,,,,960,1320,20,5
2352002,2352002,303,Nan,3,0,,,,,,,,960,1320,0,25
2346627,2346627,7679,Nan,5,0,,,,,,,,960,1320,15,25
7353903,7353903,6930,Nan,3,0,,,,,,,,960,1320,0,5
7255953,7255953,1869,Nan,2,0,,,,,,,,960,1320,15,10
2346497,2346497,232,Nan,1,0,,,,,,,,960,1320,20,0
6690414,6690414,204,Nan,4,0,,,,,,,,960,1320,0,5
7255951,7255951,134,Nan,2,0,,,,,,,,960,1320,5,5
7353902,7353902,6186,Nan,4,0,,,,,,,,960,1320,20,0
6690896,6690896,179,Nan,7,0,,,,,,,,960,1320,10,5
2341989,2341989,6945,Nan,2,0,,,,,,,,960,1320,0,5
2346527,2346527,21,Nan,5,0,,,,,,,,960,1320,10,10
2341931,2341931,529,Nan,7,0,,,,,,,,960,1320,15,20
2346543,2346543,453,Nan,5,0,,,,,,,,960,1320,0,5
2346506,2346506,430,Nan,1,0,,,,,,,,960,1320,10,10
2341958,2341958,6156,Nan,2,0,,,,,,,,960,1320,15,20
7334370,7334370,57,Nan,5,0,,,,,,,,960,1320,10,0
2346551,2346551,898,Nan,8,0,,,,,,,,960,1320,25,15
6685906,6685906,6979,Nan,5,0,,,,,,,,960,1320,0,25
6688176,6688176,170,Nan,3,0,,,,,,,,960,1320,5,5
2346563,2346563,1487,Nan,7,0,,,,,,,,630,1320,5,0
2346536,2346536,242,Nan,3,0,,,,,,,,960,1320,15,5
2336207,2336207,6955,Nan,6,0,,,,,,,,960,1320,25,20
2336158,2336158,5744,Nan,4,0,,,,,,,,960,1320,10,20
6688173,6688173,261,Nan,5,0,,,,,,,,960,1320,0,15
2336197,2336197,7055,Nan,1,0,,,,,,,,960,1320,15,20
2341924,2341924,714,Nan,6,0,,,,,,,,960,1320,5,10
2336169,2336169,6107,Nan,1,0,,,,,,,,960,1320,10,25
2336137,2336137,676,Nan,5,0,,,,,,,,960,1320,5,5
2346507,2346507,575,Nan,7,0,,,,,,,,960,1320,15,15
2346653,2346653,9354,Nan,7,0,,,,,,,,960,1320,0,15
2336139,2336139,719,Nan,5,0,,,,,,,,960,1320,10,25
2336127,2336127,337,Nan,3,0,,,,,,,,960,1320,15,10
2352624,2352624,486,Nan,7,0,,,,,,,,960,1320,15,10
2336123,2336123,361,Nan,6,0,,,,,,,,960,1320,0,10
6688170,6688170,221,Nan,3,0,,,,,,,,960,1320,10,15
6685895,6685895,901,Nan,4,0,,,,,,,,960,1320,25,20
2353358,2353358,155,Nan,2,0,,,,,,,,960,1320,0,10
2336134,2336134,242,Nan,3,0,,,,,,,,960,1320,5,10
2336198,2336198,6866,Nan,4,0,,,,,,,,960,1320,5,10
2336105,2336105,382,Nan,2,0,,,,,,,,960,1320,20,0
2346493,2346493,485,Nan,6,0,,,,,,,,960,1320,5,10
6690912,6690912,7626,Nan,3,0,,,,,,,,960,1320,5,5
2346547,2346547,884,Nan,5,0,,,,,,,,960,1320,25,20
6687603,6687603,8003,Nan,3,0,,,,,,,,960,1320,15,0
6690910,6690910,6951,Nan,3,0,,,,,,,,960,1320,5,15
2341921,2341921,657,Nan,8,0,,,,,,,,960,1320,0,5
6690911,6690911,7001,Nan,4,0,,,,,,,,960,1320,5,10
2336232,2336232,8140,Nan,4,0,,,,,,,,960,1320,15,0
2336116,2336116,276,Nan,3,0,,,,,,,,960,1320,15,20
7255944,7255944,832,Nan,3,0,,,,,,,,960,1320,15,20
2336108,2336108,548,Nan,5,0,,,,,,,,960,1320,20,10
6688175,6688175,391,Nan,2,0,,,,,,,,960,1320,10,15
2341946,2341946,1442,Nan,2,0,,,,,,,,960,1320,25,20
2346537,2346537,315,Nan,5,0,,,,,,,,960,1320,20,10
6688162,6688162,769,Nan,2,0,,,,,,,,960,1320,20,5
2336124,2336124,314,Nan,2,0,,,,,,,,960,1320,10,10
6685894,6685894,377,Nan,5,0,,,,,,,,960,1320,25,25
6685919,6685919,9224,Nan,6,0,,,,,,,,960,1320,5,10
2346509,2346509,349,Nan,3,0,,,,,,,,960,1320,20,5
2346528,2346528,781,Nan,3,0,,,,,,,,960,1320,25,25
2346548,2346548,204,Nan,2,0,,,,,,,,960,1320,0,25
2341936,2341936,336,Nan,2,0,,,,,,,,960,1320,25,20
2336241,2336241,7961,Nan,6,0,,,,,,,,960,1320,20,15
2336180,2336180,6975,Nan,4,0,,,,,,,,960,1320,5,0
2336132,2336132,563,Nan,3,0,,,,,,,,960,1320,5,5
2346488,2346488,152,Nan,4,0,,,,,,,,960,1320,15,20
2346575,2346575,6034,Nan,7,0,,,,,,,,960,1320,20,25
2346499,2346499,353,Nan,5,0,,,,,,,,960,1320,25,25
2341940,2341940,1894,Nan,2,0,,,,,,,,960,1320,25,0
2336148,2336148,1949,Nan,6,0,,,,,,,,960,1320,15,15
2336145,2336145,1474,Nan,1,0,,,,,,,,960,1320,20,20
2341919,2341919,703,Nan,2,0,,,,,,,,960,1320,0,15
2353384,2353384,4323,Nan,4,0,,,,,,,,960,1320,25,5
2346494,2346494,876,Nan,2,0,,,,,,,,960,1320,0,10
6685889,6685889,601,Nan,1,0,,,,,,,,960,1320,20,20
2342024,2342024,9086,Nan,3,0,,,,,,,,960,1320,10,25
6690898,6690898,386,Nan,5,0,,,,,,,,960,1320,10,10
6687597,6687597,5811,Nan,7,0,,,,,,,,960,1320,0,25
7363363,7363363,425,Nan,6,0,,,,,,,,960,1320,20,5
2341935,2341935,985,Nan,5,0,,,,,,,,960,1320,20,15
2342026,2342026,9239,Nan,2,0,,,,,,,,960,1320,25,0
6688177,6688177,387,Nan,5,0,,,,,,,,960,1320,20,10
2346504,2346504,728,Nan,5,0,,,,,,,,960,1320,20,25
2336258,2336258,9186,Nan,4,0,,,,,,,,960,1320,25,5
6690415,6690415,698,Nan,2,0,,,,,,,,960,1320,10,5
2353389,2353389,6109,Nan,9,0,,,,,,,,960,1320,25,20
6687595,6687595,3673,Nan,1,0,,,,,,,,960,1320,10,20
7256698,7256698,9112,Nan,2,0,,,,,,,,960,1320,15,5
2353399,2353399,7114,Nan,2,0,,,,,,,,960,1320,15,0
6685887,6685887,208,Nan,2,0,,,,,,,,960,1320,10,5
2346487,2346487,92,Nan,10,0,,,,,,,,960,1320,15,10
2341956,2341956,6237,Nan,3,0,,,,,,,,960,1320,25,5
2336186,2336186,6817,Nan,2,0,,,,,,,,960,1320,0,20
2353363,2353363,1709,Nan,4,0,,,,,,,,960,1320,20,10
2346567,2346567,6160,Nan,5,0,,,,,,,,960,1320,20,0
6688168,6688168,849,Nan,9,0,,,,,,,,960,1320,0,10
2341932,2341932,175,Nan,6,0,,,,,,,,960,1320,25,10
6685910,6685910,7021,Nan,4,0,,,,,,,,960,1320,0,10
6688174,6688174,711,Nan,4,0,,,,,,,,960,1320,25,15
2352005,2352005,517,Nan,2,0,,,,,,,,960,1320,5,5
2341984,2341984,6921,Nan,4,0,,,,,,,,960,1320,20,15
2353348,2353348,95,Nan,3,0,,,,,,,,960,1320,5,0
2341950,2341950,5888,Nan,3,0,,,,,,,,960,1320,10,20
2336104,2336104,604,Nan,4,0,,,,,,,,960,1320,25,10
2336154,2336154,3647,Nan,4,0,,,,,,,,960,1320,25,5
2336156,2336156,3709,Nan,4,0,,,,,,,,960,1320,15,15
7255950,7255950,446,Nan,3,0,,,,,,,,960,1320,0,5
2336141,2336141,1610,Nan,5,0,,,,,,,,960,1320,5,15
2336208,2336208,6856,Nan,4,0,,,,,,,,960,1320,0,10
2346515,2346515,629,Nan,4,0,,,,,,,,960,1320,10,5
2341926,2341926,141,Nan,5,0,,,,,,,,960,1320,0,0
2336142,2336142,1666,Nan,5,0,,,,,,,,960,1320,5,0
6687600,6687600,6823,Nan,1,0,,,,,,,,960,1320,15,5
7256687,7256687,502,Nan,3,0,,,,,,,,960,1320,20,15
2341955,2341955,5850,Nan,2,0,,,,,,,,960,1320,15,0
2341937,2341937,228,Nan,1,0,,,,,,,,960,1320,25,20
6685896,6685896,1029,Nan,3,0,,,,,,,,960,1320,5,5
2336140,2336140,1749,Nan,5,0,,,,,,,,960,1320,15,15
2346626,2346626,8212,Nan,4,0,,,,,,,,960,1320,15,10
2336234,2336234,8133,Nan,5,0,,,,,,,,960,1320,25,10
2336144,2336144,1713,Nan,2,0,,,,,,,,960,1320,25,15
2341988,2341988,7065,Nan,2,0,,,,,,,,960,1320,20,20
2336168,2336168,6018,Nan,3,0,,,,,,,,960,1320,0,15
6690905,6690905,5887,Nan,1,0,,,,,,,,960,1320,10,5
7257321,7257321,6604,Nan,3,0,,,,,,,,730,1320,10,20
2346568,2346568,5744,Nan,2,0,,,,,,,,960,1320,25,15
2353350,2353350,277,Nan,3,0,,,,,,,,960,1320,25,10
2336196,2336196,7251,Nan,8,0,,,,,,,,960,1320,15,25
2341933,2341933,734,Nan,2,0,,,,,,,,960,1320,0,10
2341985,2341985,7146,Nan,4,0,,,,,,,,960,1320,10,15
2336200,2336200,7270,Nan,7,0,,,,,,,,960,1320,0,20
2336128,2336128,703,Nan,3,0,,,,,,,,960,1320,10,20
2352006,2352006,754,Nan,4,0,,,,,,,,960,1320,5,15
2336221,2336221,8557,Nan,3,0,,,,,,,,960,1320,15,20
2336182,2336182,7022,Nan,4,0,,,,,,,,960,1320,10,25
6687593,6687593,600,Nan,2,0,,,,,,,,960,1320,20,5
2341948,2341948,3735,Nan,2,0,,,,,,,,960,1320,20,20
2336193,2336193,7129,Nan,7,0,,,,,,,,960,1320,0,10
2336165,2336165,5719,Nan,5,0,,,,,,,,960,1320,25,0
6685912,6685912,8300,Nan,3,0,,,,,,,,960,1320,10,0
2336131,2336131,489,Nan,4,0,,,,,,,,960,1320,5,10
2336264,2336264,9339,Nan,2,0,,,,,,,,960,1320,10,5
2336102,2336102,321,Nan,7,0,,,,,,,,960,1320,0,0
2341927,2341927,778,Nan,2,0,,,,,,,,960,1320,20,15
2336212,2336212,7056,Nan,9,0,,,,,,,,960,1320,20,15
7255948,7255948,853,Nan,1,0,,,,,,,,960,1320,20,20
2341977,2341977,7245,Nan,1,0,,,,,,,,960,1320,5,15
2352626,2352626,1858,Nan,7,0,,,,,,,,960,1320,15,0
2341928,2341928,626,Nan,3,0,,,,,,,,960,1320,5,0
2353396,2353396,7113,Nan,6,0,,,,,,,,960,1320,0,25
2353353,2353353,322,Nan,5,0,,,,,,,,960,1320,25,5
2346646,2346646,9311,Nan,4,0,,,,,,,,960,1320,15,10
2336209,2336209,7036,Nan,4,0,,,,,,,,960,1320,15,20
2353364,2353364,1532,Nan,4,0,,,,,,,,960,1320,15,0
7255967,7255967,9057,Nan,1,0,,,,,,,,960,1320,25,25
2346612,2346612,8188,Nan,4,0,,,,,,,,960,1320,25,5
2336183,2336183,7249,Nan,2,0,,,,,,,,960,1320,25,10
2341987,2341987,7095,Nan,5,0,,,,,,,,960,1320,0,25
2336113,2336113,708,Nan,8,0,,,,,,,,960,1320,25,20
2336226,2336226,7938,Nan,2,0,,,,,,,,960,1320,5,10
2346615,2346615,7932,Nan,2,0,,,,,,,,960,1320,20,10
2346529,2346529,800,Nan,1,0,,,,,,,,960,1320,20,10
2346546,2346546,654,Nan,7,0,,,,,,,,960,1320,5,5
2346614,2346614,8227,Nan,2,0,,,,,,,,960,1320,25,15
2353355,2353355,844,Nan,4,0,,,,,,,,960,1320,20,15
6685892,6685892,516,Nan,4,0,,,,,,,,960,1320,25,0
2341922,2341922,574,Nan,5,0,,,,,,,,960,1320,15,5
2336195,2336195,7060,Nan,7,0,,,,,,,,960,1320,5,20
2346532,2346532,650,Nan,4,0,,,,,,,,960,1320,25,0
2341939,2341939,768,Nan,4,0,,,,,,,,960,1320,20,5
2346489,2346489,694,Nan,5,0,,,,,,,,960,1320,25,15
6688211,6688211,9212,Nan,4,0,,,,,,,,960,1320,0,0
7255947,7255947,980,Nan,4,0,,,,,,,,960,1320,15,15
2336246,2336246,8478,Nan,4,0,,,,,,,,960,1320,5,20
2346518,2346518,636,Nan,7,0,,,,,,,,960,1320,25,25
2336218,2336218,8374,Nan,1,0,,,,,,,,960,1320,20,20
2336130,2336130,794,Nan,6,0,,,,,,,,960,1320,25,10
2336125,2336125,49,Nan,4,0,,,,,,,,960,1320,0,10
2346629,2346629,8511,Nan,6,0,,,,,,,,960,1320,15,5
2341998,2341998,8318,Nan,3,0,,,,,,,,960,1320,20,15
6688200,6688200,6645,Nan,1,0,,,,,,,,720,1320,10,25
2346557,2346557,1777,Nan,10,0,,,,,,,,960,1320,25,0
6685908,6685908,7252,Nan,6,0,,,,,,,,430,1320,20,15
6685914,6685914,8468,Nan,5,0,,,,,,,,960,1320,25,5
2346542,2346542,759,Nan,4,0,,,,,,,,960,1320,15,10
6685897,6685897,261,Nan,3,0,,,,,,,,960,1320,25,20
2336133,2336133,3,Nan,5,0,,,,,,,,960,1320,5,25
2336126,2336126,747,Nan,4,0,,,,,,,,960,1320,5,5
2336166,2336166,6049,Nan,2,0,,,,,,,,960,1320,25,10
2346634,2346634,7999,Nan,4,0,,,,,,,,960,1320,10,10
2346523,2346523,742,Nan,3,0,,,,,,,,960,1320,20,25
2353349,2353349,640,Nan,1,0,,,,,,,,960,1320,10,15
2336115,2336115,44,Nan,2,0,,,,,,,,960,1320,5,25
2346495,2346495,1031,Nan,6,0,,,,,,,,960,1320,0,0
2353347,2353347,764,Nan,1,0,,,,,,,,960,1320,25,0
7256690,7256690,6610,Nan,2,0,,,,,,,,780,1320,25,5
2353357,2353357,755,Nan,5,0,,,,,,,,960,1320,15,20
2346639,2346639,9135,Nan,3,0,,,,,,,,960,1320,10,5
2346525,2346525,589,Nan,4,0,,,,,,,,960,1320,20,5
