payload_id,carrier_id,sequence_id,tour_id,commodity,weight,job,pu_zone,del_zone,pu_stop_duration,del_stop_duration,pu_tw_lower,pu_tw_upper,del_tw_lower,del_tw_upper,pu_arrival_time,del_arrival_time
0,685623,,,1,108.61509433962264,delivery,,131,,9,,,300,1320,,
1,685623,,,1,229.66666666666666,delivery,,3654,,20,,,300,1320,,
2,685623,,,1,225.0679245283019,delivery,,872,,7,,,300,1320,,
3,685623,,,1,3286.8264150943396,delivery,,5770,,45,,,300,1320,,
4,685623,,,1,301.90188679245284,delivery,,6626,,13,,,300,28800,,
5,685623,,,1,993.6666666666666,delivery,,7046,,13,,,300,1320,,
6,685623,,,1,106.01886792452831,delivery,,7063,,5,,,300,1320,,
7,685623,,,1,774.0833333333334,delivery,,7812,,9,,,300,1320,,
8,685623,,,1,729.3283018867925,delivery,,5891,,42,,,300,1320,,
9,685623,,,1,133.0641509433962,delivery,,6004,,16,,,300,1320,,
10,685623,,,1,196.29811320754717,delivery,,7638,,5,,,300,1320,,
11,685623,,,1,993.6666666666666,delivery,,7046,,9,,,300,1320,,
12,685623,,,1,1162.75,delivery,,7221,,29,,,300,1320,,
13,685623,,,1,497.0264150943396,delivery,,7758,,15,,,300,1320,,
14,685623,,,1,229.66666666666666,delivery,,3654,,6,,,300,1320,,
15,685623,,,1,1394.0833333333333,delivery,,5678,,82,,,300,1320,,
16,685623,,,1,3286.8264150943396,delivery,,5770,,62,,,300,1320,,
17,685623,,,1,824.6666666666666,delivery,,7228,,17,,,300,1320,,
18,685623,,,1,135.16981132075472,delivery,,7328,,11,,,300,28800,,
19,685623,,,1,336.42641509433963,delivery,,7282,,7,,,300,28800,,
20,685623,,,1,440.62264150943395,delivery,,10009,,11,,,300,28800,,
21,685623,,,1,336.42641509433963,delivery,,7282,,19,,,300,28800,,
22,685623,,,1,587.4166666666666,delivery,,5109,,13,,,300,28800,,
23,685623,,,1,110.53962264150944,delivery,,5048,,13,,,300,28800,,
24,685623,,,1,110.53962264150944,delivery,,5048,,12,,,300,28800,,
25,685623,,,1,466.75,delivery,,20091,,16,,,300,28800,,
26,685624,,,1,129.34716981132075,delivery,,1510,,6,,,300,1320,,
27,685624,,,1,466.3333333333333,delivery,,3797,,13,,,300,1320,,
28,685624,,,1,114.6,delivery,,5794,,14,,,300,1320,,
29,685624,,,1,1295.0833333333333,delivery,,5906,,13,,,300,1320,,
30,685624,,,1,2969.7735849056603,delivery,,8200,,22,,,300,1320,,
31,685624,,,1,129.34716981132075,delivery,,1510,,8,,,300,1320,,
32,685624,,,1,217.09056603773584,delivery,,7168,,11,,,300,1320,,
33,685624,,,1,2969.7735849056603,delivery,,8200,,90,,,300,1320,,
34,685624,,,1,1427.6150943396226,delivery,,399,,69,,,300,1320,,
35,685624,,,1,114.6,delivery,,5794,,7,,,300,1320,,
36,685624,,,1,987.1666666666666,delivery,,7183,,35,,,300,1320,,
37,685624,,,1,217.09056603773584,delivery,,7168,,5,,,300,1320,,
38,685624,,,1,709.6666666666666,delivery,,8482,,20,,,300,1320,,
39,685624,,,1,1133.0301886792454,delivery,,10343,,51,,,300,28800,,
40,685624,,,1,1133.0301886792454,delivery,,10343,,46,,,300,28800,,
41,685624,,,1,1446.1666666666667,delivery,,5550,,40,,,300,28800,,
42,685624,,,1,1394.0833333333333,delivery,,20067,,45,,,300,28800,,
43,688382,,,3,93.0,delivery,,6288,,9,,,300,28800,,
44,688382,,,3,231.91666666666666,delivery,,6324,,12,,,300,28800,,
45,688779,,,3,283.3333333333333,delivery,,6364,,14,,,300,28800,,
46,688995,,,3,338.50000000000006,delivery,,6335,,16,,,300,28800,,
47,688995,,,3,812.3333333333334,delivery,,6607,,8,,,300,28800,,
48,688995,,,3,560.25,delivery,,6607,,22,,,300,28800,,
49,689298,,,3,229.14716981132077,delivery,,6729,,8,,,300,28800,,
50,689299,,,3,421.75,delivery,,6574,,9,,,300,28800,,
51,689299,,,3,69.25,delivery,,6819,,18,,,300,1320,,
52,690819,,,3,72.5,delivery,,6232,,6,,,300,1320,,
53,691609,,,3,101.25283018867924,delivery,,6643,,18,,,300,28800,,
54,692710,,,3,738.5833333333334,delivery,,6222,,11,,,300,1320,,
55,692718,,,3,295.5833333333333,delivery,,6328,,29,,,300,28800,,
56,692728,,,3,127.25,delivery,,6612,,7,,,300,28800,,
57,692729,,,3,343.5,delivery,,6206,,6,,,300,1320,,
58,697588,,,3,380.9166666666667,delivery,,6212,,19,,,300,1320,,
59,697588,,,3,138.2188679245283,delivery,,6854,,16,,,300,1320,,
60,697588,,,3,254.33333333333334,delivery,,6859,,14,,,300,1320,,
61,697593,,,3,678.3333333333334,delivery,,6445,,37,,,300,28800,,
62,699330,,,3,559.25,delivery,,6310,,10,,,300,28800,,
63,700099,,,3,253.33333333333334,delivery,,6355,,7,,,300,28800,,
64,700400,,,3,1169.1666666666667,delivery,,6330,,8,,,300,28800,,
65,700400,,,3,989.25,delivery,,6345,,40,,,300,28800,,
66,700400,,,3,279.5,delivery,,6432,,8,,,300,28800,,
67,700491,,,3,176.75,delivery,,6516,,8,,,300,28800,,
68,701319,,,3,148.03773584905662,delivery,,6486,,6,,,300,28800,,
69,702996,,,3,1137.3333333333333,delivery,,6589,,31,,,300,28800,,
70,702997,,,3,243.83333333333334,delivery,,6422,,10,,,300,28800,,
71,703011,,,3,157.0754716981132,delivery,,6659,,7,,,300,28800,,
72,703013,,,3,861.0,delivery,,6619,,47,,,300,28800,,
73,705034,,,3,732.8333333333334,delivery,,6219,,23,,,300,1320,,
74,721772,,,3,402.25,delivery,,6574,,10,,,300,28800,,
75,725626,,,3,842.8679245283018,delivery,,6756,,8,,,300,28800,,
76,725627,,,3,429.8333333333333,delivery,,6680,,13,,,300,28800,,
77,729887,,,3,133.49056603773585,delivery,,6450,,9,,,300,28800,,
78,730012,,,3,238.5,delivery,,6251,,11,,,300,1320,,
79,730725,,,3,119.5,delivery,,6789,,19,,,300,28800,,
80,755401,,,3,309.25,delivery,,6437,,9,,,300,28800,,
