carrier_id,firm_id,depot_zone,contract_firms,num_veh_type_1,num_veh_type_2,num_veh_type_3,num_veh_type_4,num_veh_type_5,num_veh_type_6,num_veh_type_7,num_veh_type_8,num_veh_type_9,depot_lower,depot_upper,depot_time_before,depot_time_after
685623.0,685623.0,909.0,[685623.0],7,5,,,,,,,,740,28800,5,20
685624.0,685624.0,564.0,[685624.0],6,15,,,,,,,,510,28800,0,25
686779.0,686779.0,396.0,[686779.0],2,4,,,,,,,,870,28800,15,0
688995.0,688995.0,283.0,[688995.0],6,8,,,,,,,,600,28800,0,10
691608.0,691608.0,381.0,[691608.0],4,7,,,,,,,,880,28800,10,5
692707.0,692707.0,348.0,[692707.0],4,9,,,,,,,,620,28800,20,10
697596.0,697596.0,611.0,[697596.0],4,9,,,,,,,,850,28800,15,5
700400.0,700400.0,190.0,[700400.0],3,3,,,,,,,,960,28800,15,20
700913.0,700913.0,155.0,[700913.0],2,7,,,,,,,,610,28800,20,5
701322.0,701322.0,705.0,[701322.0],3,7,,,,,,,,950,28800,15,0
702993.0,702993.0,79.0,[702993.0],7,4,,,,,,,,610,28800,25,0
703000.0,703000.0,820.0,[703000.0],5,9,,,,,,,,690,28800,0,0
703003.0,703003.0,367.0,[703003.0],2,6,,,,,,,,870,28800,25,25
703004.0,703004.0,473.0,[703004.0],1,4,,,,,,,,570,28800,15,25
705033.0,705033.0,531.0,[705033.0],4,8,,,,,,,,530,28800,20,20
707089.0,707089.0,75.0,[707089.0],3,7,,,,,,,,680,28800,20,10
708788.0,708788.0,658.0,[708788.0],7,8,,,,,,,,700,28800,25,0
710272.0,710272.0,245.0,[710272.0],5,10,,,,,,,,860,28800,0,0
710275.0,710275.0,144.0,[710275.0],6,12,,,,,,,,820,28800,5,25
714655.0,714655.0,475.0,[714655.0],6,6,,,,,,,,820,28800,25,5
722617.0,722617.0,318.0,[722617.0],5,13,,,,,,,,850,28800,25,15
722620.0,722620.0,758.0,[722620.0],5,11,,,,,,,,480,28800,0,10
722621.0,722621.0,641.0,[722621.0],4,4,,,,,,,,1000,28800,5,20
722626.0,722626.0,458.0,[722626.0],3,5,,,,,,,,690,28800,10,10
725620.0,725620.0,982.0,[725620.0],7,3,,,,,,,,940,28800,5,20
727548.0,727548.0,519.0,[727548.0],3,12,,,,,,,,940,28800,25,10
729886.0,729886.0,1033.0,[729886.0],7,12,,,,,,,,1130,28800,5,10
730012.0,730012.0,486.0,[730012.0],3,9,,,,,,,,790,28800,20,15
732004.0,732004.0,55.0,[732004.0],4,5,,,,,,,,430,28800,5,0
732005.0,732005.0,672.0,[732005.0],8,7,,,,,,,,620,28800,25,5
732011.0,732011.0,939.0,[732011.0],4,7,,,,,,,,420,28800,25,0
732012.0,732012.0,235.0,[732012.0],3,3,,,,,,,,790,28800,25,25
732013.0,732013.0,85.0,[732013.0],3,10,,,,,,,,850,28800,15,0
732014.0,732014.0,901.0,[732014.0],3,7,,,,,,,,920,28800,25,15
732015.0,732015.0,140.0,[732015.0],8,9,,,,,,,,380,28800,20,25
732018.0,732018.0,528.0,[732018.0],1,12,,,,,,,,1100,28800,5,20
732019.0,732019.0,242.0,[732019.0],3,6,,,,,,,,1120,28800,25,25
732020.0,732020.0,943.0,[732020.0],3,6,,,,,,,,450,28800,25,5
732021.0,732021.0,781.0,[732021.0],3,9,,,,,,,,590,28800,25,5
732023.0,732023.0,615.0,[732023.0],9,5,,,,,,,,670,28800,15,5
732025.0,732025.0,404.0,[732025.0],2,13,,,,,,,,730,28800,15,25
732028.0,732028.0,894.0,[732028.0],4,9,,,,,,,,680,28800,10,20
732029.0,732029.0,654.0,[732029.0],2,5,,,,,,,,690,28800,10,15
732031.0,732031.0,624.0,[732031.0],4,13,,,,,,,,1220,28800,15,5
732036.0,732036.0,370.0,[732036.0],5,7,,,,,,,,790,28800,25,15
732040.0,732040.0,179.0,[732040.0],4,13,,,,,,,,610,28800,20,5
732041.0,732041.0,732.0,[732041.0],6,7,,,,,,,,590,28800,0,5
732043.0,732043.0,827.0,[732043.0],4,6,,,,,,,,800,28800,20,0
732046.0,732046.0,433.0,[732046.0],4,8,,,,,,,,550,28800,25,15
739355.0,739355.0,470.0,[739355.0],2,7,,,,,,,,490,28800,20,5
739590.0,739590.0,793.0,[739590.0],3,9,,,,,,,,750,28800,0,0
739591.0,739591.0,155.0,[739591.0],4,11,,,,,,,,920,28800,25,15
739594.0,739594.0,60.0,[739594.0],4,5,,,,,,,,940,28800,10,25
739595.0,739595.0,949.0,[739595.0],10,10,,,,,,,,640,28800,10,20
740579.0,740579.0,980.0,[740579.0],3,4,,,,,,,,690,28800,15,0
740581.0,740581.0,154.0,[740581.0],5,11,,,,,,,,730,28800,5,5
740582.0,740582.0,200.0,[740582.0],4,5,,,,,,,,1050,28800,10,25
740584.0,740584.0,43.0,[740584.0],8,9,,,,,,,,660,28800,20,20
740587.0,740587.0,984.0,[740587.0],2,4,,,,,,,,940,28800,20,15
740590.0,740590.0,634.0,[740590.0],3,9,,,,,,,,570,28800,5,15
740591.0,740591.0,939.0,[740591.0],5,6,,,,,,,,620,28800,5,20
740592.0,740592.0,349.0,[740592.0],3,7,,,,,,,,830,28800,20,15
740593.0,740593.0,843.0,[740593.0],5,13,,,,,,,,770,28800,15,15
740594.0,740594.0,394.0,[740594.0],4,8,,,,,,,,1000,28800,10,25
740595.0,740595.0,513.0,[740595.0],1,3,,,,,,,,570,28800,5,15
740596.0,740596.0,4.0,[740596.0],3,8,,,,,,,,940,28800,15,5
740598.0,740598.0,589.0,[740598.0],1,11,,,,,,,,890,28800,10,20
740599.0,740599.0,579.0,[740599.0],2,6,,,,,,,,910,28800,5,25
744590.0,744590.0,363.0,[744590.0],7,6,,,,,,,,1000,28800,0,0
744592.0,744592.0,255.0,[744592.0],4,8,,,,,,,,600,28800,0,25
744593.0,744593.0,326.0,[744593.0],3,5,,,,,,,,740,28800,25,5
744594.0,744594.0,234.0,[744594.0],4,6,,,,,,,,1000,28800,0,0
744596.0,744596.0,663.0,[744596.0],7,6,,,,,,,,600,28800,15,0
744597.0,744597.0,283.0,[744597.0],1,5,,,,,,,,610,28800,10,5
744600.0,744600.0,328.0,[744600.0],4,12,,,,,,,,580,28800,15,25
744603.0,744603.0,292.0,[744603.0],3,5,,,,,,,,990,28800,0,5
744604.0,744604.0,3.0,[744604.0],5,6,,,,,,,,940,28800,5,0
744608.0,744608.0,676.0,[744608.0],6,5,,,,,,,,930,28800,5,25
744609.0,744609.0,46.0,[744609.0],2,7,,,,,,,,620,28800,15,5
744610.0,744610.0,230.0,[744610.0],6,8,,,,,,,,1130,28800,10,20
744611.0,744611.0,861.0,[744611.0],3,6,,,,,,,,820,28800,10,20
744612.0,744612.0,892.0,[744612.0],5,8,,,,,,,,1010,28800,10,20
744613.0,744613.0,975.0,[744613.0],6,8,,,,,,,,690,28800,20,25
744614.0,744614.0,51.0,[744614.0],6,14,,,,,,,,970,28800,10,10
744615.0,744615.0,651.0,[744615.0],8,5,,,,,,,,470,28800,20,10
744616.0,744616.0,822.0,[744616.0],3,12,,,,,,,,460,28800,5,15
744617.0,744617.0,664.0,[744617.0],3,9,,,,,,,,670,28800,10,20
749261.0,749261.0,167.0,[749261.0],2,8,,,,,,,,260,28800,10,0
749264.0,749264.0,774.0,[749264.0],5,8,,,,,,,,650,28800,10,10
749265.0,749265.0,942.0,[749265.0],2,5,,,,,,,,760,28800,5,0
749267.0,749267.0,500.0,[749267.0],3,11,,,,,,,,1260,28800,25,0
749268.0,749268.0,694.0,[749268.0],0,8,,,,,,,,490,28800,10,15
749269.0,749269.0,604.0,[749269.0],2,10,,,,,,,,960,28800,15,25
749273.0,749273.0,1031.0,[749273.0],4,6,,,,,,,,920,28800,15,0
749274.0,749274.0,376.0,[749274.0],4,9,,,,,,,,670,28800,0,25
751485.0,751485.0,599.0,[751485.0],4,10,,,,,,,,1220,28800,0,25
751815.0,751815.0,342.0,[751815.0],3,12,,,,,,,,820,28800,10,25
752087.0,752087.0,879.0,[752087.0],4,11,,,,,,,,1030,28800,10,10
752088.0,752088.0,462.0,[752088.0],3,6,,,,,,,,620,28800,0,5
752092.0,752092.0,726.0,[752092.0],4,9,,,,,,,,790,28800,5,15
752093.0,752093.0,479.0,[752093.0],4,5,,,,,,,,500,28800,5,25
752094.0,752094.0,588.0,[752094.0],7,7,,,,,,,,630,28800,15,15
757288.0,757288.0,556.0,[757288.0],3,6,,,,,,,,830,28800,5,0
759450.0,759450.0,305.0,[759450.0],2,10,,,,,,,,690,28800,5,10
761295.0,761295.0,814.0,[761295.0],2,11,,,,,,,,940,28800,15,25
761298.0,761298.0,191.0,[761298.0],0,4,,,,,,,,860,28800,10,0
763665.0,763665.0,1034.0,[763665.0],4,12,,,,,,,,420,28800,0,0
763670.0,763670.0,286.0,[763670.0],1,7,,,,,,,,1010,28800,25,0
763671.0,763671.0,319.0,[763671.0],4,10,,,,,,,,1300,28800,5,20
764511.0,764511.0,140.0,[764511.0],6,8,,,,,,,,660,28800,10,5
765508.0,765508.0,651.0,[765508.0],6,6,,,,,,,,440,28800,15,20
765727.0,765727.0,241.0,[765727.0],6,11,,,,,,,,1010,28800,5,20
766093.0,766093.0,549.0,[766093.0],4,7,,,,,,,,1190,28800,10,0
766094.0,766094.0,990.0,[766094.0],5,9,,,,,,,,860,28800,25,15
766769.0,766769.0,693.0,[766769.0],2,12,,,,,,,,950,28800,25,20
766771.0,766771.0,494.0,[766771.0],6,2,,,,,,,,880,28800,25,25
766772.0,766772.0,577.0,[766772.0],3,6,,,,,,,,630,28800,10,20
766773.0,766773.0,251.0,[766773.0],6,9,,,,,,,,610,28800,0,20
766775.0,766775.0,620.0,[766775.0],2,9,,,,,,,,810,28800,15,5
766776.0,766776.0,60.0,[766776.0],3,10,,,,,,,,930,28800,5,10
766779.0,766779.0,205.0,[766779.0],4,13,,,,,,,,630,28800,25,10
766781.0,766781.0,829.0,[766781.0],8,9,,,,,,,,790,28800,10,10
766782.0,766782.0,103.0,[766782.0],4,7,,,,,,,,720,28800,25,10
